,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,Like,3 images,DMT heel pad,46,Brand new,Meetup,4 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Brand new with packaging per photos. Not easy to get, better buy as spares when it is available. No low ballers. Tks for looking",N,NA,NA,Y,The PetalsAlexandra Road,waichoong,Joined 5 years ago,Very Responsive,Verified,1,1,1,5.0,41,https://www.carousell.sg/p/dmt-heel-pad-1242808929/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rImwtcmEbdcsmYDB&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=274
1,14 likes,10 images,"Rare listing. Featherlight Premium Blitz CT, Taiwan,  Full Carbon Road Bike","1,999",Brand new,Meetup,2 days ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"Components -
Frame : Full Monocoque
Size : 57.5cm, Large
Carbon Semi-ISP
Fork : Carbon Monocoque
Stem : FSA Omega
HB : FSA Omega Compact
Seatpost :FSA SB 250
Groupset : Shimano 105
Crankset : Shimano 105
Pedal : HT PK01 (Taiwan) set! 
Saddle : Prologo
Wheelset : Shimano R501
Tyres : Vittoria, Zaffiro
Weight : Approx. 8kg

Features -
Featherlight (Taiwan) Blitz CT , has unique Semi-ISP design,  with better stiffness during acceleration. Blitz CT has found the perfect balance point between speed and comfort, ideal for long distance riding.

Remarks -
Almost Zero Milage. Well kept and maintained regularly. Upgraded the pedal during purchase. Will include the full pedal kit (worth $106) for the listed price.",N,NA,NA,Y,Bukit Timah Plaza,silverback28,Joined 4 years ago,Very Responsive,Verified,1,0,1,5.0,17,https://www.carousell.sg/p/rare-listing-featherlight-premium-blitz-ct-taiwan-full-carbon-road-bike-1096800453/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gYCyoMW4wGEPd65k&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=32
2,8 likes,3 images,MAAP SHIFT PRO BASE JERSEY,118,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"MAAP SHIFT PRO BASE JERSEY 

TOPAZ
SMALL

Worn 2-3 times.
Condition: like new.
No tags or packaging. ",N,NA,NA,Y,Tiong Bahru Bakery,tytan7,Joined 7 years ago,Very Responsive,Verified,1,0,1,5.0,7,https://www.carousell.sg/p/maap-shift-pro-base-jersey-1241317854/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AyMIJaKyWIhP32LI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=991
3,Like,1 image,"26” Ladies bike Vintage Bicycle With Basket Can add bicycle child seat Lady bicycle Women 7 speed 27.5 seat 24"" Put bag 26"" food kid lady rack baby adult 29 delivery WHATSAPP 89501850",179.22,Brand new,Mailing,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 



Single speed - $180
7 Speed Gear - $200

Wheel: 26""""
Suitable for 150 - 188cm Height


You can also visit 
➡️ www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery Free,3 - 4 working days,N,NA,bettercycle,Joined 2 years ago,Not Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/26”-ladies-bike-vintage-bicycle-with-basket-can-add-bicycle-child-seat-lady-bicycle-women-7-speed-27-5-seat-24-put-bag-26-food-kid-lady-rack-baby-adult-29-delivery-whatsapp-89501850-1241459392/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AyMIJaKyWIhP32LI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=972
4,2 likes,8 images,[PROMO BUNDLE] SEKA Exceed RDC Lightweight Aero Frameset | Naked Black & Flame Red RDC | Welcome Inquiry! Limited Stock Left!,"2,500",Brand new,Meetup,2 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,click here for quick whatsapp check & deal:  ,N,NA,NA,Y,Blk 70 Toa Payoh Lorong 4,life-style_n_design,Joined 8 years ago,Very Responsive,Verified,1,0,1,5.0,7,https://www.carousell.sg/p/promo-bundle-seka-exceed-rdc-lightweight-aero-frameset-naked-black-flame-red-rdc-welcome-inquiry-limited-stock-left-1243112392/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=IQJwSUdwRylP7XHi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=59
5,33 likes,9 images,Cannondale SuperSix Evo Hi-Mod (Rapha / EF Education Color-way),"11,000",Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Excellent condition! Never crashed or toppled. Hi-Mod model. Size 48. Suitable for 1.65 to 1.72m rider. Components look almost new! Full SRAM Red AXS 12 Speed (Tay Junction). 10-33 cassette, 44/33 170mm Power Meter Crank. Hambini BB. Look Blade Ti pedals. Latest ZIPP 303 Firecrest (factory built). Selle Italia Flight Superflow carbon saddle. Hollowgram KNOT 100mm stem and 38mm carbon handlebar. Tubolito inner tubes.

Sparingly used as I’ve a few bikes and ride only weekends.

Frame, fork, cockpit, bb and seat post only - $4000.",N,NA,NA,Y,Kovan MRT Station (NE13),champwhite,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,62,https://www.carousell.sg/p/cannondale-supersix-evo-hi-mod-rapha-ef-education-color-way-1237818396/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fx_S38IAuf3IBO_u&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2258
6,27 likes,8 images,Cannondale Supersix Evo Disc Frameset 2019,"2,500",Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Letting go a timeless piece from Cannondale, the last and rare Supersix Evo with the traditional geometry, in Disc version. I'm 173cm, and run a 120mm stem for your reference. 1000m elevation with ease for you.

What else is included: 
Frameset size 52
TRP Spyre Mechanical Disc Calipers (160mm / 140mm)
Wolf Tooth Seatpost Clamp (New from CPS)
ThomsonElite seatpost 25.4mm
Cosine Titanium Saddle
FSA PF30a BB with HSCER adapter for Shimano Cranksets
Jagwire Lightweight Outer Cables
Shimano Pro PLT 100mm stem
Fizik Cyrano R3 Handlebar 420mm
Bottle Cages from Supercaz Ultra lightweight 
R8000 Pedals

Excluding these:
Headset 
Crankset
",N,NA,NA,Y,Yew Tee MRT Station (NS5)Punggol MRT/LRT Interchange (NE17/PTC),rimbrakedefenceforce,Joined 2 years ago,Very Responsive,Verified,1,0,1,5.0,5,https://www.carousell.sg/p/cannondale-supersix-evo-disc-frameset-2019-1241495739/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gnaFD4SFE9lc7Zk8&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=892
7,2 likes,9 images,BMC SLR THREE 2021 BLACK + GOLD,"4,899",Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","BMC TEAMMACHINE SLR THREE

SIZE 58

Frameset:
Teammachine SLR Carbon with Aerocore Design, ICS Technology, stealth cable routing, Integrated Aerocore Bottle Cages, Stealth Dropout Design, TCC Race compliance level, PF86 bottom bracket
Wheels

Wheels:
Front: 12x100mm thru-axle
Rear: 12x142mm thru-axle

Tires:
Vittoria Rubino, 25mm

Drivetrain:
Shimano Ultegra

Crank:
Shimano Ultegra

Front Derailleur:
Shimano Ultegra

Rear Derailleur:
Shimano Ultegra

Shifters:
Shimano Ultegra, Hydraulic

Brakeset:
Shimano Ultegra

Handlebar:
BMC RAB 02, ergo top shape, compact bend

Saddle:
Fizik Antares R7

Seatpost:
Teammachine Carbon D-Shape Seatpost, 15mm offset",N,NA,NA,Y,ESSO Upper Thomson,mtjw92,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,6,https://www.carousell.sg/p/bmc-slr-three-2021-black-gold-1243054188/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=IQJwSUdwRylP7XHi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=88
8,14 likes,8 images,Tsubasa Road Bike,"10,500",Like new,Meetup,1 month ago,Road Bikes,Posted,Used once or twice. As good as new.,"A handcrafted boutique road bike from UK. Rare piece to be seen in Singapore. A definite head turner.

Groupset is Sram Red Etap 11 Speed Rim Brake with crankset being SRM Powermeter with adjustable pedal placement to adjust length. 
Wheelset is Zipp Clincher with Chris King hubs.
Finishing Kit is MCFK.
Brakeset are Cane Creek EE.
Includes Ceramicspeed OSPW.
Saddle is Specialized Power Elaston.

If you have any questions, drop me a msg.",N,NA,NA,Y,Rs Cycle,muhamadridwanxx,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,57,https://www.carousell.sg/p/tsubasa-road-bike-1237814407/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fx_S38IAuf3IBO_u&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2262
9,1 like,1 image,"26 inch With Gear Mountain bike mtb 7   mesh front food delivery inch bag children baby 26 "" kid seat lady thermal 20 adult 16 29 seat 24 child 27.5 rack WHATSAPP 89501850",170,Brand new,Mailing,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! LIMITED STOCKS!!
Self assembly, Toolkit provided


FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

➡️ For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 



21 Speed Gear
➡️ 26"""" Wheel 
➡️ Mechanical Front & Rear Disk Brake System
➡️ Fast Clip Seat
Ultralight Body Frame

➡️ For fast reply, please whatsapp 8950 1850 for purchase.",Y,Standard delivery S$30,3 - 4 working days,N,NA,tk-store,Joined 1 year ago,Mostly Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/26-inch-with-gear-mountain-bike-mtb-7-mesh-front-food-delivery-inch-bag-children-baby-26-kid-seat-lady-thermal-20-adult-16-29-seat-24-child-27-5-rack-whatsapp-89501850-1237661264/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=bOktFdb77PbKJlzd&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2347
