,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,25 likes,5 images,Colnago Master Competition Art Decor Frameset,"2,900",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Colnago Master Competition Art Decor Frameset
ST 48cm, TT 52cm
No Rust No Dent",N,NA,NA,Y,Woodland,3.2057183,101.73505212,bititan_73.,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,15,https://www.carousell.sg/p/colnago-master-competition-art-decor-frameset-1239559236/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=mHKXp9ZD-f3OwFol&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2038
1,7 likes,1 image,[SOLD] 11s 105 Merida Scultura 400 Carbon Wheelset Road Bike,950,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"BIKE SOLD
Send us your Height & Budget, we’ll get a suitable bike for you soon!
📞9722 9153

❗️Instagram for latest updates!
instagram.com/biking_materialsg

————————————————————————

Merida Scultura 400 Road Bike
FULL BIKE

•Merida Scultura 400 Frameset
•Full 11 Speed Shimano 105 Groupset
•50mm Carbon Wheelset
•Carbon handlebar cockpit

Very good condition with zero issues
Selling at $950 super cheap

📞9722 9153 

❗️Instagram for latest updates!
Instagram.com/biking_materialsg

Location: Toa Payoh MRT Station

",N,NA,NA,Y,Toa Payoh MRT Station (NS19),1.33230844,103.84757794,bikingmaterial,Joined 6 years ago,Not Responsive,Verified,NA,NA,NA,5.0,36,https://www.carousell.sg/p/sold-11s-105-merida-scultura-400-carbon-wheelset-road-bike-1243150031/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=b1FV8RBgwscmiZ5G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=737
2,11 likes,6 images,"Orbea Orca Gold with Di2 10 spd, size 51","1,800",Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Orbea Orca Gold with Dura Ace Di2 10 speed. Size:51cm (suitable for those around 1.7-1.75m (male’s height))

Under utilised store’s bike.
Bike cost $10000 range at that time.  Letting go of it to make space.

Specs:
“ Full Shimano Dura Ace 10s Di2
“ with new battery charger
“ new Fizik bar tape installed
“ DT Swiss 190 ceramic hubs with DT Swiss RR1.1 rims
“ Easton EC90 Aero carbon drop 40cm
“ selle Italia mono link saddle
“ new aero setback seat post for standard saddle rail

Cash or PayNow.  Please make appointment for viewing.",N,NA,NA,Y,Blk 53 Paya Ubi Industrial Park#03-08,1.32529732,103.89815186,soonwatt,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.8,37,https://www.carousell.sg/p/orbea-orca-gold-with-di2-10-spd-size-51-1244000915/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=SVxlLDXiQpXS6wqS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=300
3,16 likes,3 images,🆕🔥JAVA VELOCE 3 Disc Brake Road Bike | Decaf 18 Speed Race Aluminium Bicycle,550,Brand new,Meetup,3 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Price Is For 1 Full Bike(FIRM)
Ready Stock & Brand New


☑️Ready Stocks, No Pre-order required. 

☑️Installment Plan Available 

☑️FREE : Full Bike Assembly & Tuning

☑️FREE : 3 Months of Tuning & Adjustment Limited Warranty 

☑️FREE GIFTS : Bottle Cage



📍Size Available : 

- 49cm (170-180cm Rider)





📌 ADD ON (Limited Sets): 
     Package 1 - $25 : 

▪️USB Rechargeable Front Light + Rear Light, ▪️Cable Lock,  ▪️Upgraded Bottle Cage Design  


Package 2 - $48 : 

▪️USB Rechargeable Front Light + Rear Light, ▪️5 Digit Number Lock,  ▪️Upgraded Bottle Cage Design, ▪️Phone Holder



           🤝DEALING OPTIONS🤝

◾Collection  @ 9002 Tampines St 93 / Singapore 528836 (Appointment-Based Only) 🏢

OR 

◾ 🚚Island Wide Bike Delivery🚚 @ Additional $35




Specifications :

Frame: JAVA Aluminium Frame 

Fork : Aluminium Fork

Shifters : DECAF 2 x 9 Speed

Front Derailleur : AFD 300 2 Speed

Rear Derailleur : MicroShift 9 Speed 

Brakes : Decaf Mechanical Disc Brakes 

Crankset: Decaf Crank 50/34T

Cassette: 12-28T Road

Rims : DECA Profile Rims 





☑Follow our Telegram Channel for latest products & upcoming promotions 
t.me/bikecosg

☑Check out our Listings for more Bicycle, Parts & Accessories
",N,NA,NA,Y,9002 tampines St 93 Level 4,1.34127586,103.94134977,bikeco,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1k,https://www.carousell.sg/p/🆕🔥java-veloce-3-disc-brake-road-bike-decaf-18-speed-race-aluminium-bicycle-1239827325/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=PgnviL6ynblPIHtG&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1967
4,7 likes,4 images,Giant Advanced Pro Team - XS,"2,900",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Description 

Giant TCR Adv. pro team with disc brakes, size XS. Stylish matt black with lighter, stiffer frame and aero-engineered tubes. 

Weighs about 6.8kg
Derailleurs and shifters are Shimano Ultegra with hydraulic brakes.
Cassette, 11x30

Changed stem to a 105mm Zipp (cost $125) and seat.
Can provide originals.

Serviced with great conditions and cleaned everytime after cycle (can see from the cog!) 
Not a hardcore cyclist and due to work, decided to let go. Under 800km usage. 
Just change the bar tapes (if you want for hygiene purpose, although I always use gloves) and good to go!

*Due to lack of cycling, the sealants have hardened at the wheels. Still good to ride after pumping it up. 

And i do not respond to low-ballers. ",N,NA,NA,Y,[email protected]Queenstown MRT Station (EW19),1.2950754,103.80985,amazonianlee,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,34,https://www.carousell.sg/p/giant-advanced-pro-team-xs-1242568057/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UNpGZJMAJ9uBxUgK&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=973
5,1 like,5 images,"Hey bicycle / urban bicycle / urban bike / hybrid bicycle / hybrid bike / 28"" bicycle / 28"" bike / Shimano bicycle / Shimano bike / bike / bicycle",680,Like new,Meetup,5 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"Immaculate condition
Usual price @1k++

Minimalist bicycle
Lightweight but practical. 
Simple but trusty

28"" wheel size
8 speeds Shimano gear
Drum brake system

8 speeds Shimano internal gear
Kenda tyre 

One of its kind design
Certainly beyond phenomenon

Delivery can be arranged 🚚",N,NA,NA,Y,"Towner RoadCentralised location
2 mins walk from bus stop
3 mins walk from MRT Station
Open space carpark available
8 mins cycling journey to and from kallang RIVERSIDE Park (PCN) ",1.32234177,103.85937182,owncuev,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,4.9,255,https://www.carousell.sg/p/hey-bicycle-urban-bicycle-urban-bike-hybrid-bicycle-hybrid-bike-28-bicycle-28-bike-shimano-bicycle-shimano-bike-bike-bicycle-1244489259/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=9
6,1 like,10 images,[7.9kg]Cervelo S1 road bike alu frame with carbon fork,"1,500",Lightly used,Mailing · Meetup,4 hours ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Cervelo S1 Size S [frame size 51cm, suitable for 160-173cm]
Body frame condition is superb good. 
Overall bike condition like new and in riding condition, can come view to believe 

Ultegra crankset & shifter
Dura ace brake caliper & derailleur 
Toseek saddle 200g only

Wheelset: 
Fulcrum racing speed XLR 50mm
- superlight weight and worth $1k + 

Deda superzero drop bar
Bontrager elite stem
Creek crane headset
Original cervelo seatpost

Whole bike only 7.9kg include pedal 

#giant #trek #pinarello #specialised 



",Y,Custom courier Free,3 working day(s),Y,Blk 206C Compassvale Lane,1.38788502,103.89746656,stand_bike,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1k,https://www.carousell.sg/p/7-9kg-cervelo-s1-road-bike-alu-frame-with-carbon-fork-1244497344/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0
7,18 likes,10 images,1940’s Vintage bicycle,"2,500",Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"I am letting go my marvelous Gerbi vintage bike from the late 40s, to someone who can appreciate the quality of such an old and classic Italian beauty.
It used to be a sport bike, which has been converted to a semi-racer, by changing stem, handlebar, brake levers, pedals and crank with Italian top quality period correct racing parts. The saddle is new, but it has a suitable vintage style for the bike, and it’s Italian design too.

As you can see from the pictures all the
other parts are original to the bike and most of them with panto too.
Frame size is 56×56cm (cc) - (I am 178cm and I can ride it comfortably).
Rims are top quality Nisi, and clincher tyres are pretty new Challenge ones.
Ican include the pump and the saddle
bag too, along with its original crank
(which is smaller) and its original saddle.

A little history of the brand:
Giovanni Gerbi (1885 - 1954) was an Italian
road cyclist, and one of the most popular of the pioneering era of cycling.
In his career he won a Tour of Lombardy, three Rome-Naples-Rome, three Giri del Piemonte and a Milan-Turin. Also remembered for his strong personality, he was nicknamed “Red Devil”. Legend has it that the nickname was given to him when, during a race sprint, he happened to be in the middle of a religious procession. The parish priest, seeing the cyclist speeding and dressed in his traditional red racing jersey, addressed him “Who is that there, the Devil?” When he retired from racing, he started producing bikes under his name - and this is one of the very rare ones that survived in fantastic condition till our days.
",N,NA,NA,Y,Alexandra Village Food Centre,1.2861894,103.80442727,FUNTENNIS,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,83,https://www.carousell.sg/p/1940’s-vintage-bicycle-1239892307/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=bqngu9DPepr-Wonv&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1952
8,1 like,1 image,"Fixie Bicycle 26"" Coaster brake  kid delivery lady Put 26"" seat bag mesh 27.5 24"" children inch food baby seat thermal child 29 adult 20"" 16"" rack WHATSAPP 89501850",160,Brand new,Mailing,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 



➡️ 26"""" Wheel 
➡️ Fast Clip Seat
➡️ Ultralight Body Frame
➡️ Coaster brake
➡️ Add handbrakes $20


You can also visit 
➡️  www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
 dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$10,3 - 4 working days,N,NA,,,kinbay,Joined 2 years ago,Not Responsive,Verified,NA,NA,NA,3.0,3,https://www.carousell.sg/p/fixie-bicycle-26-coaster-brake-kid-delivery-lady-put-26-seat-bag-mesh-27-5-24-children-inch-food-baby-seat-thermal-child-29-adult-20-16-rack-whatsapp-89501850-1238115096/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=EO-DMEZWhyGo9GoT&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2626
9,43 likes,5 images,Java Road bike,550,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Selling pre loved bicycle. 
Speed 700cc. 
Cycled only 3 times .  Wanna change different sport. 
10 speed . Gear 105 .  Price slight negotiable.  Self collect ",N,NA,NA,Y,Gek Poh Shopping Centre,1.34842843,103.69776104,jaheera,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/java-road-bike-1242264222/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=GQOrMrQJQ-YAUHog&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1085
10,28 likes,6 images,Cannondale supersix evo 2015 size 50,"1,800",Well used,Meetup,3 months ago,Road Bikes,Posted,Has minor flaws or defects.,"Selling a cannondale supersix evo 2015 model with ultegra groupset. Upgraded from stock and includes the following additions:

2 carbon fiber water bottle cages
Carbon seat post
Fabric saddle
Shimano clipless pedals
Cannondale foot pump
Cannondale handpump
Cannondale helmet
Cannondale seat bag with hand tools

Self pickup at my location or delivery at my convenience for serious buyers. Bike has been serviced at cannondale only.

RFS: need to make space in the house and also no time to ride often.",N,NA,NA,Y,Petir Road,1.37436083,103.77166271,ion23,Joined 9 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,79,https://www.carousell.sg/p/cannondale-supersix-evo-2015-size-50-1227769263/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rntPEaifUwt4DZ9B&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2296
