,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,1 like,7 images,GIANT TCR ADVANCED PRO 1 DISC (Ultegra)M size ( legit very lightly used accept for the paint chip at the fork),"4,000",Like new,Meetup,2 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bought June 2022 , there is still about 2 years left of warranty  ( can chat more about warranty 😀) 

Used for 4 rides Oni , the chip I alr got it check no issues just a normal chip . 

M size ,2021 model 
Stem
Giant Contact SL
Seatpost
Giant Variant, composite
Saddle
Giant Fleet SL
Shimano Ultegra
Front Derailleur
Shimano Ultegra
Rear Derailleur
Shimano Ultegra
Brakes
Shimano Ultegra hydraulic
Brake Levers
Shimano Ultegra hydraulic
Cassette
Shimano Ultegra, 11x30
Chain
KMC X11SL-1
Crankset
Shimano Ultegra, 52/36 with Giant PowerPro power meter
Rims
Giant SLR-1 42 Carbon Disc WheelSystem (F:42mm, R:42mm)
Hubs
Giant SLR-1 42 Carbon Disc WheelSystem, 12mm thru-axle
Weight
≈ 7.6kg",N,NA,NA,Y,Blk 469A Admiralty Drive,1.4485929,103.813065,cadenx,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,4,https://www.carousell.sg/p/giant-tcr-advanced-pro-1-disc-ultegra-m-size-legit-very-lightly-used-accept-for-the-paint-chip-at-the-fork-1244494347/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=3
1,Like,1 image,"26 inch with 7 Speed Vintage Bicycle City bike   mesh hybrid bike  lightweight child baby seat lock food delivery 16 20 24 26 27.5 29 inch "" 700c mtb bicycle rack accessories thermal bag  WHATSAPP 88918377",210,Brand new,Mailing,2 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"✅ Sold over 500+ Bicycles. With 300+ positive reviews! 
✅FREE ASSEMBLY  
✅Visit our main Carousell account for purchase ( Gearlook )

Without Basket & Rear Rack         $210
WITH Basket & Rear Rack($+20)   $230

Offical WebPage:
www.gearlook.sg/

Wheel: 26 Inch
High Carbon Steel
Calliper Brakes
Weight: Around 12kg
Measurement: 172cm(Length) x 70-90cm(Height) Seat Adjustable
Handlebar height: 90-100cm
Able to carry up to 136kg
Recommended height:  160cm-190cm


Add on Accessories:
Two led light $8
Bell at $3
Lock $10
Universal Bike Phone Holder $10
Pump $6
(All 5 ACCESSORIES above for $30)

Add on: Basket $18
Add on: Helmet $23


➡️ For Self collection/viewing
Do Whatsapp 8891 8377 to book an appointment",Y,Standard delivery S$15,3 - 4 working days,N,NA,,,yomobike,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,4.8,5,https://www.carousell.sg/p/26-inch-with-7-speed-vintage-bicycle-city-bike-mesh-hybrid-bike-lightweight-child-baby-seat-lock-food-delivery-16-20-24-26-27-5-29-inch-700c-mtb-bicycle-rack-accessories-thermal-bag-whatsapp-88918377-1244106822/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=pFcsFvDdlwJuiL3z&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=263
2,Like,5 images,Java siluro 3 with TIAGRA road bike ,550,Lightly used,Meetup,2 hours ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Java siluro 3 that’s in good condition, recently just went for servicing.
Dm for more info

Shifter: Shimano tiagra ST4700
Fd: Shimano tiagra
Rd: shimano tiagra
 
pasak wheelset",N,NA,NA,Y,Lakeside MRT Station (EW26)Can be discussed. ,1.34438658,103.72055369,cssss.__,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,5.0,42,https://www.carousell.sg/p/java-siluro-3-with-tiagra-road-bike-1244490304/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8
3,21 likes,10 images,Alex Moulton GT Make III Like New,"17,000",Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Andoza nickel limited ed 17 inch newly installed 
Carbon ti chain ring
THM crank
Ax lightness carbon saddle
",N,NA,NA,Y,Blk 816 Yishun Street 81,1.41161345,103.83347612,ymansiu,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,20,https://www.carousell.sg/p/alex-moulton-gt-make-iii-like-new-1241632759/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=xtwi_9JPhWIBh-TS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1365
4,22 likes,7 images,Scott Speedster Contessa xxs Tiagra 10 speed,460,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"Well used aluminum bike in a colour similar to Bianchi Celeste. 

Good entry bike that is suitable for both indoor and outdoor rides. Wiped down after every ride. 

Suitable for riders below 168cm. Can throw in a 11cm stem for fitting purposes.

Tiagra Groupset (new model) with Tektro rim brakes, which are easier to maintain compared to disc brakes. 

Brand new BTwin flat pedals. 10-32 cassette. 165mm crank length.  Other measurements are on the last image.

Will throw in an additional cushy saddle.",N,NA,NA,Y,Damai LRT Station (PE7)Waterway Point,1.40522878,103.90858887,soulocean,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,4.9,70,https://www.carousell.sg/p/scott-speedster-contessa-xxs-tiagra-10-speed-1242212442/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=GQOrMrQJQ-YAUHog&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1104
5,24 likes,4 images,Joker City Bike,380,Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Amazing city bike that looks trendy and moves fast.

Smooth gear changes",N,NA,NA,Y,The Seafront @ Meyer,1.29606722,103.88864582,psparag83,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/joker-city-bike-1239170025/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=kvvAdmVCNyg10WcJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2170
6,3 likes,3 images,Kids Bicycle,40,Lightly used,Meetup,Yesterday,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Moving out sale!! Lightly used!!

This is 14” inch kids bicycle.Suitable for 3-4 years age.

Self collection!! ",N,NA,NA,Y,Blk 403 Tampines Street 41,1.35765541,103.94506491,yb9j9jpt4f,Joined 1 year ago,NA,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/kids-bicycle-1244219401/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3cdheF8_k1Jf2N-O&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=175
7,5 likes,6 images,2021 Giant Defy Advanced 2 - ML size.,"2,000",Lightly used,Meetup,2 hours ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Giant Defy Advanced 2 - bought in 2021 from Tay Junction

It’s in stock condition, no parts replaced.
105 Groupset
Full carbon
Tubeless Tires
Excellent Endurance Road Bike
Used for about 1250kms

If the price is met, I will include the following worth $200
IGPSPORT 320 bike computer
Magene Speed & cadence sensors
Front mount
Front light 
Back light.

Bike is good condition. 2 minor paint scrapes, look at last 2 pics. 

Back paint scrape from falling down while clipping in at my place
Paint scrape at crank is from stone hit while riding. 

Welcome to check & test ride the bike",N,NA,NA,Y,Bayshore Road,1.312396,103.94007,sankm,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,5.0,11,https://www.carousell.sg/p/2021-giant-defy-advanced-2-ml-size-1243182920/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Wq_9sCUfuoLmsFZS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=723
8,39 likes,4 images,Van Rysel RCR900 Shimano 105 11 speed size S small road bike,828 850,Lightly used,Meetup,1 week ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.",NA,N,NA,NA,Y,Tai Thong Crescent,1.32944365,103.86905909,han.niao,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,4.9,89,https://www.carousell.sg/p/van-rysel-rcr900-shimano-105-11-speed-size-s-small-road-bike-1230774936/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=4jo1em8ep1pg3CLJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1204
9,14 likes,10 images,Louis Garneau RHC Easton Road bike (M)3Month+Warranty,580,Like new,Meetup,4 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Excellent condition 
made in Canada 
Shimano 105  2/10speed 
Brake Caliper -Shimano Ultegra 
Size M
wheel 700c (Loud Hub)


fork-carbon 
wheel Hub -Carbon 
Frame -Alloy
weight -8kg only 
Please see my listing for more bicycles or contact us at 8811 1796 for more information

Welcome to view and for test ride at Lipo Building 621 Aljunied Road, #07-07 (nearby Mattar Mrt, blue line)",N,NA,NA,Y,Lipo Building,1.32506834,103.87976789,simplebicycles,Joined 2 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,26,https://www.carousell.sg/p/louis-garneau-rhc-easton-road-bike-m-3month-warranty-1239057251/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XOcjX40NGTj-vB1y&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2202
