,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,17 likes,7 images,Polygon Helios A7X,"3,200",Lightly used,Meetup,4 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Polygon Helios A7X 
Size XS (seat tube length 475mm)

Purchased from Rodalink early this year.
Selling  whole bike include 105 clipless pedals.
Rfs: To get myself a high end bike

Shimano 105 Di2 groupset

Everything OEM with some better upgrades:
-Seat changed to Pro stealth saddle
-Chain changed to KMC aurora 12s (not easy rusting )
-Changed to tubeless with Chris King valve

More specs can be found in the website:
",N,NA,NA,Y,blk 668c jurong west st. 64,1.34139644,103.7033791,jockeat399,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,5.0,3,https://www.carousell.sg/p/polygon-helios-a7x-1243533096/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=QX1VpFNXSo08sylW&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=494
1,2 likes,1 image,Bicycle,100,Well used,Meetup,3 days ago,Road Bikes,Posted,Has minor flaws or defects.,NA,N,NA,NA,Y,Blk 92A Telok Blangah,1.276931,103.808153,arasam,Joined 2 years ago,Mostly Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/bicycle-1243845864/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=eG6galT9M2-EKoRl&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=349
2,1 like,2 images,Merida crossway 20,329,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"Suntour NEX HLO coil 63 STR
Shimano front 3
Shimano rear 8 Speed
Hydraulic Disc Brake
POWER DS 100  hydraulic disc
MERIDA wire
upgraded kickstand
bicycle rack + $20
rear tire need change
accessories not included
frame size: M
can nego

more info
",N,NA,NA,Y,Kaki Bukit MRT Station (DT28),1.33536199,103.90956438,halfwaytolalaland,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,4.8,61,https://www.carousell.sg/p/merida-crossway-20-1242896631/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=u_BrrGPntYKoRubR&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=853
3,3 likes,10 images,Specialized S-Works Tarmac SL7 (54),"13,000",Like new,Meetup,an hour ago,Road Bikes,Posted,Used once or twice. As good as new.,"Locally bought from Specialized Binjai. Receipt available. Condition is as new. Scratch free.

Selling as have too many bikes at home.

Includes:
- S-Works SL7 Frameset
- Roval Rapide Handlebar (40cm)
- S-Works Tarmac Stem (100mm)
- 12 Speed Dura Ace 9270 Di2 Disc Groupset w/ 4iii Dual Sided Power Meter
- Roval Rapide CLX Wheelset 
- Ceramicspeed Oversized Pulley Wheel (Red)
- Ceramicspeed BSA24 Coated BB (Red)
- Sigeyi Direct Mount Rear Derailleur Hanger
-  Aptitude Full Carbon Bottle Cage
- Prologo Scratch M5 Carbon Saddle
- Computer Mounts, Original Accessories.

Excludes:
- Front, Rear Lights
- Pedals
- Darimo Seatpost (Original will be given)",N,NA,NA,Y,438 Basketball Court,1.36673777,103.85341568,royeolt,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,5.0,412,https://www.carousell.sg/p/specialized-s-works-tarmac-sl7-54-1244474107/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Sk5sxkbN7Bz9sqb-&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1
4,2 likes,2 images,Monton bibs,50,Like new,Meetup,6 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Check out SKULL MONTON MENS CYCLING BIB SHORTS  URBAN

only worn once",N,NA,NA,Y,Blk 230H Tampines Street 21Blk 230F Tampines Street 24,1.35636987,103.94990932,raelynn.wong,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.8,53,https://www.carousell.sg/p/monton-bibs-1243294811/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=sP4sXLBUueh80oQj&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=695
5,10 likes,2 images,Triban RC100 Straight Bar for sale,160 170,Lightly used,Meetup,1 week ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Lightly used bicycle for sale. Tyres need to be replaced. Apart from that all other parts are working well. Size L. PM for more photos. Due to the number of low ballers contacting me, price shown is final",N,NA,NA,Y,Bus Stop 44621 (opp Concord Pri Sch),1.37930965,103.73711614,junliangggg,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,21,https://www.carousell.sg/p/triban-rc100-straight-bar-for-sale-1241229482/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Aekje4yYgcIf2YYl&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=827
6,6 likes,4 images,LAST SET!🔥JAVA Siluro 3 SHIMANO Sora 18 Speed Road Bike | Disc Brake Aero Race Bicycle,799,Brand new,Meetup,6 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"📍JAVA SILURO 3 Disc Sora 18 Speed Version 


*Cheapest in the Market for this Shimano Sora version*



☑️Ready Stocks, No Pre-order required. 

☑️FREE : Full Bike Assembly & Tuning

☑️FREE : 3 Months of Tuning and Adjustment Limited Warranty 

☑️FREE GIFTS : Bottle Cage



📌Size Available :  

53cm (180-190cm rider)



🔸Installment Plan Available🔸
[CONTACT US FOR MORE INFO]



📌 ADD ON (Limited Sets): 
Package 1 - $25 : 

▪️USB Rechargeable Front Light + Rear Light, ▪️Cable Lock,  ▪️Upgraded Bottle Cage Design  


Package 2 - $48 : 

▪️USB Rechargeable Front Light + Rear Light, ▪️5 Digit Number Lock,  ▪️Upgraded Bottle Cage Design, ▪️Phone Holder



           🤝DEALING OPTIONS🤝

◾Self Collection  @ 9002 Tampines St 93 / Singapore 528836 (Appointment Only) 🏢

OR 

◾ 🚚Island Wide Bike Delivery🚚 @ Additional $35




Specifications :

Frame: JAVA UCI Certified Aero Aluminium 

Fork : JAVA Carbon Aero Fork 

Shifters : Shimano R3000 Sora 2 x 9 Speed 

Rear Derailleur : Shimano R3000 Sora 9 Speed

Brakes : DECAF Semi Hydraulic Disc Brakes 

Crankset: DECAF 50-34T Hollowtech Crank

Cassette: 12-28T Road

Rims : DECA 40mm High Profile Rims 




☑Follow our Telegram Channel for latest products & upcoming promotions 
t.me/bikecosg

☑Check out our Listings for more Bicycle, Parts & Accessories
",N,NA,NA,Y,9002 tampines St 93 Level 4,1.34127586,103.94134977,bikeco,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,1k,https://www.carousell.sg/p/last-set-🔥java-siluro-3-shimano-sora-18-speed-road-bike-disc-brake-aero-race-bicycle-1243312397/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=KxtAUR_1ZDEfQx2t&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=623
7,1 like,6 images,XDS RX500 LIMITED EDITION PRO RACE (URGENT SALE),500,Lightly used,Meetup,5 days ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","XDS is proud to be one of the largest manufacturers of carbon-fibre in the world and the largest bicycle manufacturing base in China. 

URGENT SALE

Frame:Aluminium Frame with carbon seatpost and carbon fork 
Gear:Shimano 8 Speed & Shimano Brake Lever 
Weight:10kg 

Includes:
New bar tape
New saddle and stand from fixie sg worth $75 and $20  
Bell ring 

It is a solid road bike that is partly carbon and can speed up with ease. Bought it for 1000 dollars, and I had to let it go bcuz I wanted to focus on my studies. Bike is frequently cleaned and washed

Price is negotiable, and meet up location can be discussed.",N,NA,NA,Y,Paya Lebar MRT Interchange (EW8/CC9),1.3178735,103.8925676,ccdoublebond,Joined 3 years ago,Not Responsive,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/xds-rx500-limited-edition-pro-race-urgent-sale-1240776562/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Tj_rhsWUl1AfKk_T&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=528
8,1 like,6 images,Merida Ride 500 Ultegra Road bike,"1,000",Lightly used,Meetup,an hour ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Well maintained Merida ride 500 with shimano ultegra groupset and cleat pedals. Caliper rim brakes, quick release front and back. XXS size for height 155-165cm.",N,NA,NA,Y,879C Tampines Ave 8 (Tampines Greenforest)Bras Basah MRT Station (CC2)See 1+ locations,1.3509779,103.92911,ch.r15,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,210,https://www.carousell.sg/p/merida-ride-500-ultegra-road-bike-1244469423/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Sk5sxkbN7Bz9sqb-&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=6
9,1 like,2 images,giant tcr3 advanced pro,"1,700",Brand new,Meetup,11 hours ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"very good condition
washed after every ride
pedals not included",N,NA,NA,Y,Pasir Ris MRT Station (EW1),1.37287429,103.94928729,j0n4th4n,Joined 3 years ago,NA,Verified,NA,NA,NA,4.5,17,https://www.carousell.sg/p/giant-tcr3-advanced-pro-1244433069/?t-id=BcbAZiSUvj_1689996180359&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Sk5sxkbN7Bz9sqb-&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=27
