,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,Like,1 image,"2023 BEST SELLING Baby seat for bicycle Back child seat   mesh thermal rack bag inch baby 16 seat "" 26 children seat adult lady WHATSAPP 89501850",50,Brand new,Mailing,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"🤙For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg


Self collection /  Delivery +$5
For urgent SAME DAY DELIVERY +$20
✅ For Paylah/Paynow to 8950 1850 (Wen) 



Note: To install the Rear Child Seat, it requires an existing Back Rack to fit the Child Seat on top of it. If you already have 1, you would just require the child seat.

Otherwise, we do sell the back rack $25


Dealing Option:
-Self Collection at woodlands
-Qxpress, $5 doorstep delivery, take 1-2 working days 



We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat



GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,littlekay.sg,Joined 2 years ago,Not Responsive,Verified,1,0,1,5.0,3,https://www.carousell.sg/p/2023-best-selling-baby-seat-for-bicycle-back-child-seat-mesh-thermal-rack-bag-inch-baby-16-seat-26-children-seat-adult-lady-whatsapp-89501850-1241955588/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0ysmoC39FqmxkP06&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=694
1,15 likes,3 images,Giant TCR Advanced 1 KOM size XS,"3,000",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"size XS, fits me well at 1.69m with a 100mm stem. will provide 90mm stem as well 

upgrades:
SLR1 42mm aero wheelset
schwalbe pro one 28mm front tire
continental GP5000sTR 30mm rear tire (new)
Prime Primavera 380mm aero handlebar 
matching ciclovation bar tape

full Ultegra R8020 11 speed mechanical  groupset 
crank 50-34 170mm
cassette 11-34

will include Garmin mount, 2 bottle cages as seen and the instruction manual from distro

no pedals
saddle will be swopped to stock saddle prior to deal

negotiable for fuss free deals. it's a used bike so minor marks expected. no dents no cracks no crashes.",N,NA,NA,Y,Bartley MRT Station (CC12),darrencw.1,Joined 8 years ago,Very Responsive,Verified,1,0,1,5.0,56,https://www.carousell.sg/p/giant-tcr-advanced-1-kom-size-xs-1242088123/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=eMHu6E52kVSuPVld&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=563
2,395 likes,5 images,Carbon Wheelset R36 hub 50mm 700c rim brake ceramic road bike wheels,550,Brand new,Meetup,1 week ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"Brand new Carbon Clincher Rim brake Wheelset Ceramic (ready stock)
Made in Taiwan. T700 Toray Carbon fibre
50mm deep and 25mm width. Tested true and smooth. 
Lightweight at 1597gram a pair. 
Powerway R36 straight pull and carbon ceramic freehub. Compatible with shimano 9/10/11 speed. 
Aero flat spokes

Comes with skewers and carbon brake pads. 
6 months warranty for wheel trueness and factory defects. 

Can provide the following services:
1) 25mm Continental GP5000 tires (additional $145+ 24 inner tubes + 20 installation)
2) Can help to swap cassette over Free of charge. 
3) Viewing welcome. No obligation. 

Customisation available. Different Depth (38mm/60mm/88mm), width, colour and decal. DM for more info. ",N,NA,NA,Y,Bidadari Park Drive,maxixmus11,Joined 2 years ago,Very Responsive,Verified,1,1,1,5.0,208,https://www.carousell.sg/p/carbon-wheelset-r36-hub-50mm-700c-rim-brake-ceramic-road-bike-wheels-1060823023/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AyMIJaKyWIhP32LI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=979
3,29 likes,10 images,TT carbon bike 10x2 speed Duraace 8kg weight,"1,500",Well used,Meetup,5 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Trigon Carbon composite aero TT bike
2 saddle position on seat post

** I will not lower the price anymore **

Duraace front n rear derailleur 10 X 2 speed 
Duraace 10 speed titanium casette
Rotor oval chainring 52/39T (bought at $360)
Carbon crank with Titanium BB
KMC DLC chain (bought at $158)
Duraace R9000 pedal
Carbon cage Aero bottle (Bought at $99)
Rear saddle bottle mount will be given also

88mm high profile lightweight carbon rims that give a satisfying hollow sound during ride with super smooth ceremic hybrid bearings, Vittoria Rubina Pro 700c X 25c  175psi  tyre.

Carbon Titanium skewer
Duraace 9240 front n rear rim brake caliper
Zipp stem, handle, brake lever, aerobar
Jacob type 5 TT saddle (bought at $360)

Give up riding so selling super cheap. Bike in tip top condition, no cracks no crash before. Most of the parts are either quite new or recently replaced. 

I am 1.7m tall and it has been bike fitted to suit me, but the frame  can accommodate for riders from 1.68m to 1.8m height as it has 2 saddle position. Traditional frame size guide does not apply to this unique frame design. Bike  weight is at 8kg and it's super light for a aero TT with high profile rims. It's possible that u can reduce it further with more lightweight parts.

Don't lowball me as just the parts alone can sell for more then $1600 without the frame as none of the parts is cheap item. Hopefully the next owner can take care of this beautiful performer.",N,NA,NA,Y,Yishun Street 22,dannisx,Joined 7 years ago,Very Responsive,Verified,1,1,1,5.0,101,https://www.carousell.sg/p/tt-carbon-bike-10x2-speed-duraace-8kg-weight-1242741920/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=JTBJLRlctHi3Pm93&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=282
4,6 likes,1 image,"26"" 24 Speed Raleigh Road bike RL880 Hybrid Road Bicycle Racing Bike Drop bar 700c Straight bar R9 29 baby Put seat 24"" inch children lady 27.5 kid 20"" thermal mesh rack food 16"" bag 26"" delivery seat adult child WHATSAPP 89501850",380,Brand new,Mailing,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Brand New Item!! Fully Assembled
➡️ 24 Speed Gear
➡️ 26 Inch Wheel 

✨ TESTING / SELF COLLECT Available
✨Same Day Delivery Available

MORE PHOTOS:
bit.ly/3gxAIHB

Please whatsapp for inquiry 😊
🤙
🤙wa.me/6589501850
🤙wa.me/6589501850
🤙

Raleigh® RL880™ 2 Road Bicycle Bike
✔️ WEST BIKING™ Hard Plastic Pedals
✔️ KENDA® Road Tyres
✔️ Raleigh® Stem
✔️ Raleigh® 40 Road Rims
✔️ Raleigh® RL880 Rigid Frame
✔️ L-TWOO® Trigger Shifters
✔️ L-TWOO® Derailleur
✔️ Raleigh® Drop Handlebar
✔️ Dual Disc Brakes
✔️ EC1000 Road Saddle 

You can also visit 
➡️ www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,ridestudio,Joined 4 years ago,Not Responsive,Verified,1,0,1,4.6,21,https://www.carousell.sg/p/26-24-speed-raleigh-road-bike-rl880-hybrid-road-bicycle-racing-bike-drop-bar-700c-straight-bar-r9-29-baby-put-seat-24-inch-children-lady-27-5-kid-20-thermal-mesh-rack-food-16-bag-26-delivery-seat-adult-child-whatsapp-89501850-1236986813/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=T2ft2VZWaw8P1_s6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2658
5,17 likes,6 images,RIDLEY HELIUM SLX LOTTO SOUDAL TEAM EDITION Road bike,"4,490 6,500",Lightly used,Meetup,1 month ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Condition: Lightly used (500km≧)
Maker: RIDLEY
Model: HELIUM SLX 
             LOTTO SOUDAL TEAM EDITION
Weight: 6.98kg (without pedals)
Frame size: XXS (Geometry: pic6)

COMPONENT:
Campagnolo Chorus 12s

Crank size: 170mm, 52-36t
Sprocket: 11-32

HANDLEBAR: 
S-WORKS CARBON SHALLOW ROAD BAR
31.8 x 420mm (c to c), 200g

STEM:
Specialized S-Works SL Alloy Bike Stem 
31.8 x 75mm 6º Black, 106g

SEAT:
SPECIALIZED POWER COMP SADDLE
143mm, 247g

SEATPOST:
Fizik CYRANO 00
Setback: 25mm, size 27.2×330mm, 190g

WHEELS:
Fulcrum racing zero nite C17
1,510g

TIRE:
Vittoria Corsa, 25mm",N,NA,NA,Y,City Gate,daitok,Joined 2 years ago,Very Responsive,Verified,1,0,1,5.0,6,https://www.carousell.sg/p/ridley-helium-slx-lotto-soudal-team-edition-road-bike-1235562617/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=9zqmd_zhxRb9REbB&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2567
6,19 likes,8 images,Colnago V2-R Limited Edition 2018 - with Campy SR 12 speed upgraded,"5,500",Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Selling the following to fund for other biking projects

Brand: Colnago
Model: V2-R Limited Edition
Color: Ferrari Red
Size: 48s
Year: 2018
Setup: Full Italian

Frame: Colnago V2-R 2018 Size 48s
Groupset: Campagnolo Super Record 12s with 52-36T chainring and 11-29T cassette
Wheelset: Campagnolo Bora Ultra 50 AC3 
Tyres: GP 5000 700c x 25c clincher
Handlebar: Colnago Carbon
Stem: Deda Superzero
Saddle: Sell Italia SMP

Additional:
Bottle cage: Campagnolo carbon fibre
Saddle: Colnago x Prologo

Deal in Tampines. Delivery at buyer's expense unless price is met.

Link: ",N,NA,NA,Y,Bus Stop 75249 (Temasek Polytechnic West Gate)Bus Stop 75241 (Opp Temasek Poly West G)See 1+ locations,sgayanami,Joined 8 years ago,Very Responsive,Verified,1,1,1,5.0,133,https://www.carousell.sg/p/colnago-v2-r-limited-edition-2018-with-campy-sr-12-speed-upgraded-1239678186/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=NIto8dAlUUROfnJA&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1543
7,17 likes,8 images,Qiant TCR Advanced 2 Upgrade,"3,180",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","-M size
Contact SLR Carbon Handlebar
Carbon seat post
Carbon saddle
Full Shimano Ultegra R8020 Groupset
Crank 50-34 Cassette 11-30
Magene Exar Pro 45 Carbon Wheelsize
Continental GP5000 (95%)",N,NA,NA,Y,KPT Coffee Shop,jk8171,Joined 4 years ago,Mostly Responsive,Verified,1,1,1,4.8,23,https://www.carousell.sg/p/qiant-tcr-advanced-2-upgrade-1239119255/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=HuPNNwhll_GNKeOq&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1730
8,8 likes,4 images,Giant TCR,"2,624",Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Used TCR black glossy 

Size small 

No accidents no damages 
Not much used 

MY2021 bought at Tai junction in Singapore 

Plus 2x new Conti Grand Prix ",N,NA,NA,Y,Siglap Link,hermannpolo,Joined 2 years ago,Very Responsive,Verified,1,0,1,5.0,5,https://www.carousell.sg/p/giant-tcr-1242466371/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DaFFM4SR0gtRvkSV&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=394
9,3 likes,4 images,TRIBAN RC 120 // JAPANESE EDITION // FREE CHAIN LUBE,369,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","free bottle holder and foldable lock, seat still in pristine condition
350 if fast deal

RFS: upgrading to a better bike
condition 8/10
chain rusted, handlebar tape need replace, some scratches on handlebar too
free WD-40 Chain lube (pls request if need)",N,NA,NA,Y,Choa Chu Kang MRT/LRT Interchange (NS4/BP1)Keat Hong LRT Station (BP3),yolosight,Joined 3 years ago,Mostly Responsive,Verified,1,0,1,5.0,38,https://www.carousell.sg/p/triban-rc-120-japanese-edition-free-chain-lube-1240093865/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=vq2gb6z6HhwNnN1u&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1431
10,14 likes,1 image,Trek Madone SLR Gen 7 ( SLR6/ SLR7/ SLR9),"11,900",Brand new,Meetup,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Full Bike Madone SLR Gen 7, coming in various configurations to choose from, you definitely want to own one of this beautiful bike.

*Only one colour, shown in picture*

SLR6/Shimano 105/Aeolus Pro51 - $11,900
SLR7/Shimano/Ultegra 8170
Aeolus Pro 51 - $12,900
SLR9/Shimano DA 9270 Aeolus RSL 51 - $15,500

SLR7 AXS - NEW Sram Force with PM /Aeolus Pro 51 $13,500
SLR7 AXS - NEW Sram Force w/o PM/Aeolus Pro 51 - 12,900

Now available for Pre-Order with Bike Technik. For sizing, please check with us on the availability🙏🏻

Check Out our Instagram
",N,NA,NA,Y,Focus OneBike Technik #04-13,biketechnik,Joined 4 years ago,Very Responsive,Verified,1,0,1,5.0,44,https://www.carousell.sg/p/trek-madone-slr-gen-7-slr6-slr7-slr9-1237801933/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fx_S38IAuf3IBO_u&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2269
11,39 likes,1 image,Pinarello Dogma F12  Dura-Ace di2,"3,200 7,000",Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Pinarello Dogma F12 Yellow. Egan bernal's yellow TOUR DE FRANCE-WINNING pinerello dogma f12 colourway. 
super fast bike, comfortably sits at 30kmh. message to arrange viewing
total bike mileage under 500km.
 
Do take note that it's a OEM frame as real ones arent this cheap. performs and looks the same

doesnt come with spd pedals and saddle, can provide lightweight cnc flat pedals
Size: 46.5
barstem: 400, 90mm (integrated aero)
Crankset: 52-36
Cassette: 11-28
50mm carbon wheelset (loud)

Dura Ace Di2 9150 shifter
Dura Ace Di2 9150 FD & RD
Ultegra 8000 crankset
Ultegra 8000 direct mount rim brake
Ultegra 8000 cassette
Ultegra BB
Ultegra chain
does not come with any accessories",N,NA,NA,Y,Eunos MRT Station (EW7)Ubi MRT Station (DT27),willingtosell,Joined 2 years ago,Very Responsive,Verified,1,0,1,5.0,20,https://www.carousell.sg/p/pinarello-dogma-f12-dura-ace-di2-1240357979/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=o8cINkyfaOmgUhmL&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1327
