,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,11 likes,7 images,Canyon Ultimate CF SL7,"4,250",Lightly used,Meetup,5 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Selling my Canyon Ultimate CF SL7 Disc!
Lightweight and fast bike

Well taken cared of, cleaned after every ride.

Full carbon frame;
Size: XS (165-170)
Integrated handle bar
Groupset: Shimano 105
50mm Carbon Elite Wheelset
1 week old:
    a) ciclovation bar tape
    b) grand prix 5000 25mm tyres
    c) 11speed Shimano Casette 

Updrades;
Novaride carbon OSPW 
Bjorn carbon seatpost
Limited Edition Fizik Tempo Argo R3 Les Classique Saddle
Dura-ace Rotors

Freebies;
Ultegra clipless pedals
Garmin/ Wahoo Mount
2 bottle cages

*lights not included
Can negotiate but pls don’t low ball me",N,NA,NA,Y,Blk 114 Simei Street 1,1.34398531,103.95051241,rcu_de,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,18,https://www.carousell.sg/p/canyon-ultimate-cf-sl7-1243481319/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=553
1,10 likes,8 images,Emonda ALR4,"1,500",Like new,Meetup,1 month ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Selling my underutilized well maintained Road bike from TREK. Size 58. 

Suitable for 180-190CM height, Serious buyers only and no price negotiable so. ",N,NA,NA,Y,Telok Blangah RiseMount Faber Park,1.27329482,103.82135722,waqasqamar123,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,5.0,4,https://www.carousell.sg/p/emonda-alr4-1232157064/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=546
2,6 likes,6 images,Specialized Road Bike Ultegra 50cm,"7,000",Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Road bike in pristine condition
Stored in the apartment 
Almost new ",N,NA,NA,Y,Gramercy Park,1.298865,103.826628,sauloaievoli,Joined 6 years ago,Mostly Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/specialized-road-bike-ultegra-50cm-1239210769/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=kvvAdmVCNyg10WcJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2154
3,2 likes,4 images,Bicycle,200,Brand new,Meetup,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"1.  SPULEN Foldable Bicycle (Black)          $200 (Never used)

2. Hyper XT Foldable Mountain Bike
Aluminium body
Aero dynamic 3-spokes Magnesium Alloy Rims(Sports Rims) $400 
Used only once


Please arrange for pick up at own expense",N,NA,NA,Y,Hougang Ave 3,1.3404233,103.89242,vendahansa,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,5.0,20,https://www.carousell.sg/p/bicycle-1237956015/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=EO-DMEZWhyGo9GoT&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2579
4,9 likes,1 image,Road Bike Triban RC 100 7sp - Silver,330 350,Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","comes with Bike Saddle Cover and front light
some scratches
7/10 condition
lowest i can go is 330",N,NA,NA,Y,Punggol (MRT) fieldWaterway Point,1.405071,103.901851,sanja790961114,Joined 2 months ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/road-bike-triban-rc-100-7sp-silver-1238191016/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-K7WvTlu9-8PhyYg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2471
5,1 like,1 image,"26 inch With Gear Mountain bike mtb 7   24"" thermal inch 27.5 20"" delivery children 26"" adult seat seat kid rack Put food mesh lady baby child 29 bag 16"" WHATSAPP 89501850",170,Brand new,Mailing,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! LIMITED STOCKS!!
Self assembly, Toolkit provided


FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

➡️ For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 



21 Speed Gear
➡️ 26"""" Wheel 
➡️ Mechanical Front & Rear Disk Brake System
➡️ Fast Clip Seat
Ultralight Body Frame

➡️ For fast reply, please whatsapp 8950 1850 for purchase.",Y,Standard delivery S$30,3 - 4 working days,N,NA,,,better-bikes,Joined 4 years ago,Not Responsive,Verified,NA,NA,NA,4.6,9,https://www.carousell.sg/p/26-inch-with-gear-mountain-bike-mtb-7-24-thermal-inch-27-5-20-delivery-children-26-adult-seat-seat-kid-rack-put-food-mesh-lady-baby-child-29-bag-16-whatsapp-89501850-1238030584/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=EO-DMEZWhyGo9GoT&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2624
6,19 likes,5 images,Carbon Ultegra SystemsiX,"4,000",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Size 48. Shimano ultegra.Light carbon wheels. Richley pedal, inclusivenof lezyne bike computer and lights.",N,NA,NA,Y,Sengkang MRT/LRT Interchange (NE16/STC),1.39153028,103.89538449,shugz,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.9,6,https://www.carousell.sg/p/carbon-ultegra-systemsix-1242459320/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=8PEFzVC8osLOTyOH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1012
7,3 likes,4 images,Merida SCULTURA 400,790,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","More info here:
",N,NA,NA,Y,Great World MRT Station (TE15)Starlight SuitesSee 1+ locations,1.29466105,103.83366197,secondhandcarl,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.9,44,https://www.carousell.sg/p/merida-scultura-400-1241128618/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gMRLCAAd4x5OVnEu&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1564
8,32 likes,5 images,Trek Madone SLR 6 Disc size 50,"6,800",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"Trek Madone Disc SLR 6 size 50 for sale. 

- Sram red etap 11 speed with Dura ace 9100 crank (165mm)
- OCLV 700
- Hope rotor with Sram Red Calipers
- Absolute Black chain ring 50/34 or 52/36 (have two sets, choose one please)
- Bontrager Ion RT lights with integrated bracket
- Bontrager Aeolus Pro white saddle
- wheelset : Brotrager Aeolus Pro 5 with Chris King Hub
- Custom painted by paint extreme with original colour Grey. Original frame from trek 

Pedals not included. 

Condition : 8/10 looking every good
Reason of sale : Looking to upgrade

Low ballers will be ignored.

Tag: Canyon SLR CFR, SWorks SL 7, Specialized , Giant , Merida , cannondale ",N,NA,NA,Y,Junction Of Hougang Ave 2 & 8,1.370247,103.879776,xfire88,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,40,https://www.carousell.sg/p/trek-madone-slr-6-disc-size-50-1243149280/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=b1FV8RBgwscmiZ5G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=739
9,3 likes,1 image,TREK Madone SLR 9 Di2 Gen 7  DEEP SMOKE 54,"15,888",Brand new,Meetup,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"For Sale Madone SLR Gen 9 Di2
1 x Complete Bike

Colour : Deep Smoke
Size : 54
Frame : 800 Series OCLV Carbon
Drivetrain : Shimano Di2 Dura-Ace R9200
Wheels : Bontrager Aeolus RSL 51 , OCLV Carbon
Saddle : Bontrager Aeolus P2 RSL Carbon
Handlebar : Madone Integrated handlebar/stem, OCLV Carbon, 420mm width, 90mm stem length

Claimed Weight : 7.1kg without pedals (Size 54)

*Customization of other parts or change of specs can be accommodated
*Bikes are ORIGINAL and NOT OEM or Fake.
*Ready Stock at time of posting",N,NA,NA,Y,Jurong East MRT Interchange (NS1/EW24),1.33329113,103.74220747,bomtoonen,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,43,https://www.carousell.sg/p/trek-madone-slr-9-di2-gen-7-deep-smoke-54-1242003690/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FJT3StX2wQq4rthn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1231
