,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,34 likes,3 images,Factor Ostro Vam,"8,000",Like new,Meetup,4 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Factor Ostro VAM
Size 52
Sicilian Peach colourway
Sram Force c/w Powermeter
Ceramic Speed BB, headset
0 degree offset seatpost
BlackInc integrated cockpit 400x100
New bar tape
No crash, no dent, no drop, no fall, no scratch
LNIB
Selling without wheelset and accessories",N,NA,NA,Y,Pasir Ris MRT Station (EW1),1.37287429,103.94928729,minibom,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,17,https://www.carousell.sg/p/factor-ostro-vam-1239056639/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XOcjX40NGTj-vB1y&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2205
1,22 likes,8 images,Colnago V2-R Limited Edition 2018 - with Campy SR 12 speed upgraded,"5,500",Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Selling the following to fund for other biking projects

Brand: Colnago
Model: V2-R Limited Edition
Color: Ferrari Red
Size: 48s
Year: 2018
Setup: Full Italian

Frame: Colnago V2-R 2018 Size 48s
Groupset: Campagnolo Super Record 12s with 52-36T chainring and 11-29T cassette
Wheelset: Campagnolo Bora Ultra 50 AC3 
Tyres: GP 5000 700c x 25c clincher
Handlebar: Colnago Carbon
Stem: Deda Superzero
Saddle: Sell Italia SMP

Additional:
Bottle cage: Campagnolo carbon fibre
Saddle: Colnago x Prologo

Deal in Tampines. Delivery at buyer's expense unless price is met.

Link: ",N,NA,NA,Y,Bus Stop 75249 (Temasek Polytechnic West Gate)Bus Stop 75241 (Opp Temasek Poly West G)See 1+ locations,1.34800187,103.93018402,sgayanami,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,133,https://www.carousell.sg/p/colnago-v2-r-limited-edition-2018-with-campy-sr-12-speed-upgraded-1239678186/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=PgnviL6ynblPIHtG&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2006
2,41 likes,4 images,Pinarello Full Carbon Bike,988,Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Pinarello Dogma 60.1 White 
Taiwan OEM full carbon
Shimano Ultegra / 105 Groupset

Suitable for 1.6-1.75m

Bike is really fast. Bought it to try out how a carbon road bike feels and turnout it was an extremely pleasant experience. Gears are shifting in a snap, and the overall weight is Superlight. As work becomes more hectic, have no choice but to put this beauty up for sale. Whatever you see in the pictures are coming along for you. 

Price is Firm and Non-negotiable. Reasonably price it to clearup for space. Your gain is my lost.",N,NA,NA,Y,Singapore / Singapura / 新加坡 / சிங்கப்பூர் (Singapore),1.29058,103.852064,work.examples,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,5.0,331,https://www.carousell.sg/p/pinarello-full-carbon-bike-1243823735/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fjjuUJ3Ytehubd9V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=383
3,4 likes,7 images,Polygon Helios C7.0 Carbon Ultegra Road Bike,"1,500",Lightly used,Meetup,Yesterday,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Polygon Helios C7.0 Carbon Road Bike

- Good condition 

- Full Carbon Roadie

- Full Ultegra Groupset

- Size S - 50cm frame size

- Fizik Aliante V5 Saddle
(Will give seat cover)

- Weighs less than 8kg without accessories 

If you’re looking to upgrade, to go faster then this gem is for you! 

PM to get now!",N,NA,NA,Y,Paya Lebar MRT Interchange (EW8/CC9)MON-FRI,1.31751284,103.89231275,xripz,Joined 8 years ago,NA,Verified,NA,NA,NA,5.0,73,https://www.carousell.sg/p/polygon-helios-c7-0-carbon-ultegra-road-bike-1244143276/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=pFcsFvDdlwJuiL3z&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=223
4,2 likes,2 images,decathlon bike,65,Lightly used,Meetup,3 hours ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",Decathlon child bike for those 6 to 12 years old. lightly used and all are in good condition. Free gift bike helmet for fast deal,N,NA,NA,Y,Sembawang MRT Station (NS11),1.44894908,103.81990815,yekht,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,20,https://www.carousell.sg/p/decathlon-bike-1243300887/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=omN_uxru5foZSL37&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=647
5,1 like,2 images,BMC road bike,0,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,you get what you see,N,NA,NA,Y,Old Zion Road Hawker Centre 大世界炒粿條,1.2888281,103.82724,zs758qgxds98906,Joined 1 month ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/bmc-road-bike-1242192966/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=GQOrMrQJQ-YAUHog&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1109
6,Like,3 images,Bicycle helmet,50,Lightly used,Meetup,54 minutes ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Sales 2 for $50 

Road bike and foldie
Not for fussy buyer
Black helmet is L - 56 to 61 cm
White helmet is L - 58 to 61 cm

",N,NA,NA,Y,blk 289a punggol place,1.400692,103.901637,paulyn72,Joined 7 years ago,NA,Verified,NA,NA,NA,5.0,14,https://www.carousell.sg/p/bicycle-helmet-1244494346/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=5
7,6 likes,4 images,Merida Scultura Roadbike,"2,250",Like new,Meetup,1 month ago,Road Bikes,Posted,Used once or twice. As good as new.,"selling due to clear space. 

Full carbon bike. frame size 48 ( XS). running on SRAM Force 22 with some upgraded aftermarket parts. Using Ascent Zenith Elite carbon wheel with hubsmith hubs. 3T carbon seatpost ect 

interested parties may view or test first. please contact me at 94515518 for faster response ! thanks for viewing!",N,NA,NA,Y,Yishun Ave 9,1.43505848,103.84188364,ahhweiiii,Joined 4 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/merida-scultura-roadbike-1238432805/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2409
8,3 likes,3 images,sspu,130,Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,only use few time only same like new,N,NA,NA,Y,Blk 174C Hougang Avenue 1,1.34942151,103.8891526,8930angkoon,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,4.2,165,https://www.carousell.sg/p/sspu-1241202516/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gMRLCAAd4x5OVnEu&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1548
9,4 likes,6 images,Avail Flatbar Roadbike,"1,000 1,200",Like new,Meetup,1 month ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Giant Avail Pro Flat Bar Ultegra - Road Bike 
Carbon Frame, Shimano 105 Parts, Disc
Limited Edition flat bar Roadbike ",N,NA,NA,Y,Bedok Court Swimming PoolPlayground @ Bedok Court,1.32213382,103.94533819,micheyee,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,22,https://www.carousell.sg/p/avail-flatbar-roadbike-1217438939/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=7BjN4cUt6cUbP5J4&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2392
10,31 likes,6 images,S-Works Tarmac SL6 Size 49,"6,800",Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Size 49 S-Works Tarmac SL6 
Full Dura Ace 9150 Electronic Groupset 
3T Superleggera Team Carbon Handlebar 42cm 
3T Arx II Team Stem  
Zipp 303 Firecrest Carbon Wheelset 
Fizik Antares R1 Carbon Saddle 
KMC Gold Chain 
Shimano Dura Ace 9100 Pedals 
 

Bike is in great condition. Under utilised. Selling as not riding anymore.

No obligation to view. Thank you.",N,NA,NA,Y,Kew Avenue Playground,1.3208456,103.94982475,temtemtemtem,Joined 9 years ago,NA,Verified,NA,NA,NA,5.0,43,https://www.carousell.sg/p/s-works-tarmac-sl6-size-49-1241278433/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=hVU9bxzo7O6aHURa&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1483
11,7 likes,5 images,Vitoria Corsa Pro TLR/Tube,105,Brand new,Meetup,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"$120  - 1Pc 
$115 - 2pcs * 115
$105 -  4pcs * 105 

Available both in 26mm and 28mm. 

wa.me/6592252121

Vittoria Corsa Pro G2.0 Tubeless Road Tyre
Corsa PRO is the most advanced cotton tyre ever made, delivering unmatched pro-level racing performance. With Corsa PRO, Vittoria engineers succeeded in incorporating the rubber tyre tread with the cotton casing by using newly developed vulcanization processes.

The tread is now completely embedded with the casing, creating a 100% seamless tyre. Corsa PRO 320 TPI cotton casing – the finest available in the market – provides the suppleness, flexibility and comfort pro-riders are used to, now served in an even more flexible, aerodynamic and reliable tyre construction.

Winner of countless stages and one-day races at World Tour level since the start of the season, Corsa PRO tubeless-ready clincher and tubular offer increased speed, wet & cornering grip, puncture resistance and comfort compared to the previous version.


Features:

The choice of World Tour Riders:
- Graphene + Silica compound ensures speed and grip on a range of conditions
- Proven cotton casing material, wrapped in a revolutionary new construction, now 100% seamless, that sets the new standard of race tyres
- The choice of the pro riders, now even faster with increased puncture resistance


Specifications:

- Size: 700x26c
- ETRTO: 26-622 
- Tire Bead: Tubeless TLR 
- Material: Corespun 320TPI 





Self collect location: 
132 Bishan Street 12 (daytime) 
228A Punggol Field
Or town area in the evenings. 

Free delivery 4pcs and above. ",N,NA,NA,Y,Blk 132 Bishan Street 12Punggol FieldSee 1+ locations,1.34587511,103.85169626,jeffydoo,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,158,https://www.carousell.sg/p/vitoria-corsa-pro-tlr-tube-1241023602/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=N9Fm4bT6sWVUFmqt&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1590
12,9 likes,1 image,Aloeca Lavario Bicycle,50,Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Price can be nego.
Bought for $150 used once or twice is a bit dusty but i can wash and then good as new.
Comes with bell.
Good for kids",N,NA,NA,Y,nexSerangoon MRT Interchange (NE12/CC13)See 1+ locations,1.35071656,103.87275269,anglokante,Joined 1 month ago,Very Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/aloeca-lavario-bicycle-1238168112/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-K7WvTlu9-8PhyYg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2477
13,3 likes,4 images,Brooks Helmet,60,Well used,Meetup,5 days ago,Road Bikes,Posted,Has minor flaws or defects.,Brooks Helmet,N,NA,NA,Y,"Playground @ Bukit Batok Street 21 between Blk 202, 206 & 207",1.34636646,103.74886394,oiytoy,Joined 3 years ago,Not Responsive,Verified,NA,NA,NA,4.4,7,https://www.carousell.sg/p/brooks-helmet-1243417147/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AQAt4pfd0qkK4rV9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=576
14,25 likes,5 images,Specialized Road bike for sale,"2,800",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","2018 SPECIALIZED ALLEZ SPRINT COMP(DISC)
NO SCRATCHES
CONDITION 10/10
SIZE 54
VERY RARE TO FIND THIS COLOURWAY → STOPPED PRODUCTION
WEIGHT: ARND 8KG

SPECS:
Full 105 SHIMANO GROUPSET (NEW MODEL)
SHIFTING OF GEARS VERY SMOOTH
UPGRADED TO PRO LT STEM & HANDLEBARS
CARBON SEATPOST & FORK
UPGRADED TO SPECIALISED POWER SADDLE
UPGRADED TO 50MM AERO WHEELS
SPECIALIZED ROUBAIX PRO TYRE
TREK BONTRAGER AERO RIMS W/O DECALS
NEW BLACK BARTAPE INSTALLED

FULL BIKE: $2800 SGD
SHIMANO 105 PEDALS
S-WORKS BOTTLE CAGE(ONLY 20g)
MAGENE C406 BIKE COMPUTER (WITH SPEED,POWER & MORE)",N,NA,NA,Y,"Blk 229B Sumang LanePlease call [email protected] 97778521 or 92788438 for viewing arrangement,thanks.",1.402991,103.891608,steve.wong62,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/specialized-road-bike-for-sale-1242539815/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UNpGZJMAJ9uBxUgK&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=982
15,Like,5 images,Decathlon cycling bibs 2 Xl,30,Well used,Meetup,6 days ago,Road Bikes,Posted,Has minor flaws or defects.,"2XL . my waist line 40inch / 175cm / 90kg
selling as too many",N,NA,NA,Y,Blk 230H Tampines Street 21Blk 230F Tampines Street 24,1.35636987,103.94990932,raelynn.wong,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.8,53,https://www.carousell.sg/p/decathlon-cycling-bibs-2-xl-1243295870/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=omN_uxru5foZSL37&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=657
16,6 likes,4 images,Triban road bike,350,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",dm me for more questions if want to trade  send me pic or buy,N,NA,NA,Y,Blk 825 Jurong West Street 81,1.3461777,103.69329,etangoh05697803,Joined 1 month ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/triban-road-bike-1241828964/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0k6r_6eLznvzAb-9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1293
