,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,12 likes,9 images,Kaizu Hybrid Bike,220,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"Medium size. Ridden only on PCNs. Just recently serviced. Welcome to view and try.

Specs:
- Rim size: 700C X 35C Taiwan CST Road Tyre (27.5”)
- Frame: T6061 Grade Alu-alloy
- Front Derailleur: SHIMANO ACERA
- Rear Derailleur: SHIMANO ALTUS 9 Speed
- Cassette/ Freewheel: SHIMANO HG200-9 Speed (11-32T)
- Gear shifter: SHIMANO M2000 3 x 9 Speed
- Crankset: TAIWAN PROWHEEL
- Front Chainring: 42-34-24T
- Fork: Front Lock-out suspension fork
- Kickstand: Yes
- Brakes: Front and read Taiwan Nutt semi-hydraulic disc brakes
- Weight: 14.5kg",N,NA,NA,Y,Blk 48 Telok Blangah Drive,sillydaddy,Joined 7 years ago,Very Responsive,Verified,0,0,1,4.9,40,https://www.carousell.sg/p/kaizu-hybrid-bike-1241075412/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=xbNpolAVteU4e8TN&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1037
1,3 likes,2 images,Girl bike,60,Like new,Meetup,4 days ago,Road Bikes,Posted,Used once or twice. As good as new.,Little girl bike barely used princess theme,N,NA,NA,Y,The ARTE,patty4578,Joined 1 year ago,Very Responsive,Verified,1,0,1,4.5,2,https://www.carousell.sg/p/girl-bike-1237720674/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=aeWCRZcn663Mub3G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=245
2,29 likes,5 images,"Cannondale CAAD10 Road Bike, size 48","1,500",Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Brand: Cannondale
Model: CAAD10 Women’s 5 105
Weight: 1,020 grams 
Frame size: 48cm
Color: Matte Black/Mint Green
Fork type: Full Carbon
Frame type: SmartFormed 6069 lightweight Alloy, Di2 Ready
bracket: FSA BB30
Brake levers: Shimano 105 5700
Brakes: Tektro R580
Cassette: Shimano 105 5700, 11-28, 10-speed
Chain: Shimano 105 5700, 10-speed
Crankset: FSA Gossamer Pro
Front & Rear derailleur: Shimano 105 5700, braze-on
Rims type: upgraded T3 Accellero 40 Pro, 6000-series alloy, black anodised finish. 
Tires: Schwalbe Lugano 700x23c

Condition: 8/10 well used and it’s my pre-loved & best friend over pandemic period. Please note on some scratches and marks as it’s been used not brand new. 

FYI User: 163cm height

Feel free to contact me for viewing. ONLY serious buyer, please don’t waste each other time if you are not really interested. Thank you! ",N,NA,NA,Y,Joo Chiat Terrace,mtheo,Joined 6 years ago,Mostly Responsive,Verified,1,1,1,5.0,9,https://www.carousell.sg/p/cannondale-caad10-road-bike-size-48-1239806964/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=W4ckrEq5y0WJ0LuY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1476
3,5 likes,6 images,Pinarello Dogma F Frameset MyWay 43,"12,500",Like new,Meetup,2 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"MyWay Pinarello Dogma F. 

Frame size is 43. Perfect for the ladies.
Condition is 9.5/10

Hardly used. View to believe.",N,NA,NA,Y,Rs Cycle,500rscycles,Joined 2 years ago,Mostly Responsive,Verified,1,1,1,NA,NA,https://www.carousell.sg/p/pinarello-dogma-f-frameset-myway-43-1243032458/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UtvBMiLOA9UC6cr6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=70
4,3 likes,2 images,16” Kids bike for sale,100,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Selling 16” kids bike for  $100
original price is $229.
Condition is like new",N,NA,NA,Y,Redhill MRT Station (EW18),dimpdimp,Joined 3 years ago,Very Responsive,Verified,1,1,1,5.0,2,https://www.carousell.sg/p/16”-kids-bike-for-sale-1242250955/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=VioJffVBl_pqBZeY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=457
5,2 likes,4 images,"BIKE SMART PHONE HOLDER- ALLOY, BLACK DECATHLON",10,Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"31.8 Diameter. Never used. I will on resell because it didn't fit my bike tube size (this is bigger).

Meet up is Farrer Rd Mrt, Lakeside Mrt, Bouna Vista Mrt",N,NA,NA,Y,Buona Vista MRT Interchange (EW21/CC22),tsintuason,Joined 5 months ago,Very Responsive,Verified,1,0,1,5.0,3,https://www.carousell.sg/p/bike-smart-phone-holder-alloy-black-decathlon-1239598884/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=1fTf2bDJgvaqPuzY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1531
6,2 likes,6 images,Kids Bicycle Jackal Series auto gear,35,Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"kid outgrown bike..fully functional everything working, disc brakes, front suspension, auto gear.

dirt on wheels easily cleaned,good grip on dirt as well.

18 inch suitable for 70-150cm height kids 
max load 50kg

20 inch x3.00 tyres",N,NA,NA,Y,Lakeside MRT Station (EW26),peterxlim,Joined 4 years ago,Very Responsive,Verified,1,0,1,4.9,76,https://www.carousell.sg/p/kids-bicycle-jackal-series-auto-gear-1239736436/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=W4ckrEq5y0WJ0LuY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1500
7,4 likes,7 images,Giant TCR adv 2 2022 Disc， L size,"2,498",Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Giant TCR adv 2 2022 Disc metal black
Good as brand new, mint condition, mileage less than 500km, well maintained, no scratch, never fall down at all
L frame size
Shimano 105 R7020 groupset
Brand new Roval clx rapaid Taiwan made 50mm carbon wheel
New bartape, continental ultrasport tyre
Price firm

Our location
Jazz Bikes Shop
AMK, ave 4, blk 607 #01-1293
560607
Have more great used bike
Welcome to viewing",N,NA,NA,Y,607 Amk Ave 4,JazzBikeShop,Joined 5 years ago,Very Responsive,Verified,1,1,1,5.0,70,https://www.carousell.sg/p/giant-tcr-adv-2-2022-disc，-l-size-1242228419/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=VioJffVBl_pqBZeY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=473
8,8 likes,7 images,Twitter 740 Carbon Road Bike,900,Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Size 48
Full Shimano Ultegra 6800 groupset 11x22 speeds
(can nego)",N,NA,NA,Y,Blk 26 Ghim Moh Link,cheanyean,Joined 1 year ago,Very Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/twitter-740-carbon-road-bike-1243038866/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UtvBMiLOA9UC6cr6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=63
9,60 likes,6 images,SWorks Shiv TT size XS,"15,000",Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"Seldom used bike. 
SRAM red group with brake and bar end shifters 
Comes with power meter and complete set of cockpit parts ",N,NA,NA,Y,Melrose Park Condominium,sweatbuckets,Joined 6 years ago,Very Responsive,Verified,1,1,1,5.0,12,https://www.carousell.sg/p/sworks-shiv-tt-size-xs-1231443478/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=aeWCRZcn663Mub3G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=257
10,1 like,2 images,Carbon wheel set,"1,500",Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Shimano Dura Ace wheel set
Clincher carbon rims
Without QR
Comes with wheel bag",N,NA,NA,Y,Alfa hmart,woody47,Joined 6 years ago,Very Responsive,Verified,0,1,1,5.0,8,https://www.carousell.sg/p/carbon-wheel-set-1240411772/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=dn6VRbs_hNswnaQ8&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1278
11,12 likes,1 image,2009 Cervelo P2 (Frame),800,Heavily used,Meetup,1 week ago,Road Bikes,Posted,Has obvious signs of use or defects.,"Custom painted, serial code intact. 
Size 54
Without crank and wheels ",N,NA,NA,Y,Bedok Mall,TJ055,Joined 7 years ago,Mostly Responsive,Verified,1,1,1,5.0,9,https://www.carousell.sg/p/2009-cervelo-p2-frame-1240964793/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=4OrARvwEYBu13cPH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1068
12,3 likes,6 images,Kids Bicycle children bike outdoor sports captain america spiderman design,98,Brand new,Meetup,4 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"✨Brand new in stock, price including free installation, promotion price, limited stocks.

↘️12 inch $98
↘️14 inch $128
↘️16 inch $138
↘️18 inch $148

🚛 delivery add $10 islandwide fix price 1-3 days upon payment.",N,NA,NA,Y,Golden Wall Factory,paws_n_love,Joined 8 years ago,Very Responsive,Verified,1,1,1,4.9,226,https://www.carousell.sg/p/kids-bicycle-children-bike-outdoor-sports-captain-america-spiderman-design-1242703713/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=aeWCRZcn663Mub3G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=259
13,9 likes,6 images,Merida Scultura 400,900,Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","-Carbon fork and saddle
-Aluminium frame
-Shimano 105.
-Fulcrum wheel set
- size 170-180cm (I’m 173)

Bought refurbished from bikemart. Used less than 10 times. Selling as I’ve upgraded.
Chain might need a bit of oiling, else it’s good as new.
Can nego price for quick sell.",N,NA,NA,Y,Bedok Reservoir,Fildefer,Joined 8 years ago,Very Responsive,Verified,0,1,1,5.0,1,https://www.carousell.sg/p/merida-scultura-400-1238122823/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=abGZHdoP3ZocCohv&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2028
