,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
10,9 likes,1 image,Bike trainer cum stand,30,Well used,Meetup,4 weeks ago,Road Bikes,Bumped,Has minor flaws or defects.,bike trainer cum stand...using it as a stand rather selling to someone who will utilize it properly as a trainer.,N,NA,NA,Y,Lakeholmz Condominium,1.3423552,103.71657789,desper.sg,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,5.0,13,https://www.carousell.sg/p/bike-trainer-cum-stand-1227969937/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rntPEaifUwt4DZ9B&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2278
11,7 likes,8 images,De Rosa SK Pininfarina  2022,"5,500",Brand new,Meetup,3 weeks ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"Brand new 

Chameleon Color  
Aero Frame, seat post, Vision integrated one piece HB all in matching color

Comes with Selle Italia SLR De Rosa saddle and De Rosa cages 

Size 52 (54TT) 110/40 HB

Bought directly from De Rosa Italy

Just never built it:)

PM for more pics

",N,NA,NA,Y,Bukit Timah Plaza,1.3387155,103.77893519,darryllimeg,Joined 7 years ago,Mostly Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/de-rosa-sk-pininfarina-2022-1237730604/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=BOW7RK1_OHkCvLyI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1840
12,77 likes,6 images,Road Bike,230 400,Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"SUNPEED TRITON Road Bike 16spd Aluminium 700C Wheels

Key Features:

Aluminum alloy frame

Integrated aluminum fork

2*8 16spd C-Brake

Aluminum alloy crankset

 

Additional Information:

Color: Jewel Blue

Size:M

Net Weight: 9.9kg

Bought for S$600 a week ago and only been used for 1-2 times only due to the busy work schedule.

we only have The Blue Frame one only,The grey one has been sold recently.",N,NA,NA,Y,Blk 447 Choa Chu Kang Avenue 4meeting up on Thursday is the best as for timing flexible,1.38043701,103.73738543,goleo78910621,Joined 1 month ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/road-bike-1238414918/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2417
13,1 like,1 image,Bicycle,150,Like new,Meetup,3 days ago,Road Bikes,Posted,Used once or twice. As good as new.,Anyone interested can call or sms 84685496,N,NA,NA,Y,160 Mei Ling Street,1.292423,103.80400334,markchen324,Joined 4 years ago,NA,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/bicycle-1243872960/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fjjuUJ3Ytehubd9V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=350
14,44 likes,5 images,giant fastroad advance 1 (2023),"1,680",Like new,Meetup,3 weeks ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Good as brand new
have a receipt
size M
Price is firm
Visit and test drive location: S(640467)",N,NA,NA,Y,Blk 467 Jurong West Street 41,1.34921909,103.72260614,eagle2023,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,5.0,57,https://www.carousell.sg/p/giant-fastroad-advance-1-2023-1235509677/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fmdU8BW1QNlmvc6V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1782
15,1 like,1 image,Fuji Altamira R800 for sale,"1,100",Well used,Meetup,3 hours ago,Road Bikes,Posted,Has minor flaws or defects.,NA,N,NA,NA,Y,Lakeside MRT Station (EW26),1.34426913,103.72071206,yesandnohaha,Joined 2 years ago,NA,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/fuji-altamira-r800-for-sale-1244492089/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=7
16,33 likes,4 images,Voyager 66 Cycle,300,Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","A friend of mine gave it to me but I never use it. Hence, selling",N,NA,NA,Y,Novena MRT Station (NS20),1.32008631,103.84359175,borira_sg,Joined 6 years ago,Not Responsive,Verified,NA,NA,NA,5.0,50,https://www.carousell.sg/p/voyager-66-cycle-1239214268/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=kvvAdmVCNyg10WcJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2152
17,18 likes,1 image,"Garmin Speed Sensor 2 and Cadence Sensor 2 Bundle, Bike Sensors to Monitor Speed and Pedaling Cadence",88,Brand new,Meetup,2 months ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Garmin Speed Sensor 2 and Cadence Sensor 2 Bundle, Bike Sensors to Monitor Speed and Pedaling Cadence",N,NA,NA,Y,Block 338 Anchorvale Crescent,1.3990533,103.8895,gecko542,Joined 7 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,11,https://www.carousell.sg/p/garmin-speed-sensor-2-and-cadence-sensor-2-bundle-bike-sensors-to-monitor-speed-and-pedaling-cadence-1230751986/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0k6r_6eLznvzAb-9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1287
18,6 likes,1 image,Giant tcr advance 1 kom size xs,"2,300",Well used,Meetup,5 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Full ultegra r8000 grp set
Mavic cosmic carbon wheelset rim brake

Changes:
Bar tape 
Tires to gp5000
Ultegra to Dura ace chain rings (53/39)
Front derailleur to 105

Slight scratches here and there due to usage and a fall as i was learning how to use clipless pedals.

No crashes.


",N,NA,NA,Y,438 Basketball Court,1.36673777,103.85341568,peanutbuttur,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/giant-tcr-advance-1-kom-size-xs-1243472985/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=542
19,23 likes,10 images,Pinarello Dogma 65.1 Think 2,"3,998",Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"
Pinarello Dogma 65.1 Think 2 Asymmetric 
Tdf special order colour with beautiful carbon weave, plus a rare matte finish
Purchased directly from Singapore CycleWorx
Not OEM or replica or whatever 
Size 53
Suitable for 1.75 to 1.8m rider

One loving owner since new, weight <80kg
No crash no fall no repairs
Stored 100% indoor, shielded from UV
Original day one paintwork 
Well maintained, not abused
In good working condition, can be ridden right away without additional work or equipment 

Selling as complete bike only
Specs, please read
- Dogma UCI frameset with asymmetric seat stays, comes with minor wear and tear markings. 
- Shimano Dura-ace 9000 full set (except for the Ultegra cassette, I still have the original used DA cassette somewhere), 11 speed 
- crankset 52/36, 172.5mm
- Campagnolo Bora Ultra 35mm CULT bearings (purchased new from KH. Recently serviced by KH, new $150 freehub installed. Service receipt provided). Good for another 1000km before next service
- original wheelbags
- Continental gator skin tubular tyres
- Garmin vector power meter as pedals, Look cleats not included (can discuss)
- 2 x Zipp carbon bottle cage
- San Marco saddle with carbon rails
- 3T handlebar + 100mm stem
- other accessories if shown are excluded. 

Viewing can be arranged. 
Cash terms at self collection. 

",N,NA,NA,Y,Parliament House,1.28988136,103.85010413,gt3rsr,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,130,https://www.carousell.sg/p/pinarello-dogma-65-1-think-2-1240175976/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=6tLs0oWl9wP6QH7C&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1877
20,17 likes,2 images,Allez sprint road bike,"2,222",Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","All black specialized allez
Frame size 54
Full 105 group set
8kg ",N,NA,NA,Y,Woodlands South MRT Station (TE3 ),1.42759212,103.79348248,hisnhers,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,128,https://www.carousell.sg/p/allez-sprint-road-bike-1243347266/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=omN_uxru5foZSL37&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=619
21,32 likes,6 images,Giant Fastroad Advanced 2 (Full Carbon),"1,190",Like new,Meetup,1 month ago,Road Bikes,Posted,Used once or twice. As good as new.,"In superb condition
Carbon size S frame
Shimano Tiagra components with hydraulic disc brakes 
Upgraded Ergon grips
2 x 10 speeds 
Retails at $2.4k

Delivery can be offered to anywhere in Singapore

Specs here:
",N,NA,NA,Y,425 ChoaChuKang Ave 4,1.38167261,103.73961087,squirtleboi,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,670,https://www.carousell.sg/p/giant-fastroad-advanced-2-full-carbon-1238369314/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FQeuVZaw8aogQOFi&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2424
22,7 likes,3 images,Trek Road Bike,530,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"Size: 50cm

Shimano Claris gearset 2 x 8

Mostly stock components

Look Keo pedals

New Fizik bar tape

r.e.med saddle

*Delivery option available",N,NA,NA,Y,IMM BuildingTues to Sun 10am-7pm. (appt preferred) ,1.33505142,103.74630331,thebikeshack,Joined 2 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,20,https://www.carousell.sg/p/trek-road-bike-1242932153/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=PYa5rEUXrw89eeyL&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=855
23,13 likes,4 images,Cipollini NK1K 🇮🇹 ,"3,880",Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Full bike
Carbon 
Made in Italy 🇮🇹 
Ultegra 11s 
No crash
Minor scratches ",N,NA,NA,Y,Northstar,1.3785928,103.87628,autumn_angel_sports_pte_ltd,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,376,https://www.carousell.sg/p/cipollini-nk1k-🇮🇹-1241253490/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=hVU9bxzo7O6aHURa&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1496
24,25 likes,6 images,Pinarello Dogma F12 Myway,"11,800",Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Pinarello Dogma F12 (Myway)

Size: 50

Components: Dura Ace Di2 9170

Crank:53/39

Cass: 11/28

CeramicSpeed Pulley Wheels

Wheelset: Scope R4

Selling without  computer holder & Pedal 

Handle Bar: 120/44

Bike purchase from Cycleworx 

No trade 

Low baller stay away ",N,NA,NA,Y,Tagore LaneYishun MRT Station (NS13),1.386485,103.829496,dreambikee,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,69,https://www.carousell.sg/p/pinarello-dogma-f12-myway-1232531320/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=SVxlLDXiQpXS6wqS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=329
25,16 likes,2 images,Pinarello Dogma F (frame and handle bar),"7,900",Like new,Meetup,5 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"- Original, direct from Pinarello
- Disc, frameset
- Midnight Blue
- Frame size 50
- Handlebar 42/90
- Frame used for ~1 month
- No scratches and protected with protective film",N,NA,NA,Y,Little Rogue Coffee,1.3038826,103.896454,sunshinedays06,Joined 5 days ago,Not Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/pinarello-dogma-f-frame-and-handle-bar-1243507537/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=530
26,3 likes,10 images,Cannondale Road bike Caad 13 56cm,"3,000",Lightly used,Mailing · Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","I have a Cannondale CAAD 13 converted hybrid for sale. If you like a road bike but prefer a more comfortable set-up, this is the bike you can readily take it off me. Yet the benefit of a road bike isn't compromised. I bought it in 0ct '22, so it is only 9 months old. 

If you prefer it to be a full Road bike, I can convert it back. I would like to sell it for $3000. But I will take back my converted components.

However, if you like the hybrid set-up, it would be $3500. It actually cost me about $900 extra to do so...I did not choose the route of using cheap components. This price includes all the original components, which you can choose to fit it back to road bike set-up if you so wish....either way you can choose. 

PM me for a chat if you are keen.",Y,Express delivery Free,1 - 2 working days,Y,Beach Road Prawn Mee Eating House,1.30872238,103.91100834,Ace7seven,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,21,https://www.carousell.sg/p/cannondale-road-bike-caad-13-56cm-1243823733/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fjjuUJ3Ytehubd9V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=384
27,14 likes,2 images,Giant Fastroad SL,680,Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Price is negotiable 

Giant flat guard 700x32C s-r3 tires",N,NA,NA,Y,King Albert Park MRT Station (DT6),1.33600235,103.78308089,jun1267,Joined 2 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/giant-fastroad-sl-1240096967/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=6tLs0oWl9wP6QH7C&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1899
28,2 likes,1 image,Merida explorer 80,700,Brand new,Mailing · Meetup,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Shimano 21 speed 
Disc brake 

Ready stocks 
Viewing, test ride, Self collection available 
Free Delivery

Brand available : Giant, Merida, Dahon, Fnhon, Crius, Java, Hito, Rifle, Twitter, Sava, Trinx, Raleigh, 3sixty

Shop : Gcycle
Contact number : 8875 8715 
Address : Kapo factory building, Block A, 03-03
Singapore 367998",Y,Express delivery Free,1 - 2 working days,Y,Kapo Factory Building03-03 ( Block A),1.33680895,103.88645123,gcycle,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,4.9,65,https://www.carousell.sg/p/merida-explorer-80-1238024474/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=V7GZdavnv2YvW1ug&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2562
29,53 likes,6 images,Giant Propel Advance SL Road Bike/Bicycle Shimao Ultegra 11 Speed,"2,000",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Giant Propel Advance SL 2017

Frame Size : L
Groupset: Full Shimano Ultegra 11 Speed (R6800)
Wheelset: OEM with Novatec Hub
Tyres: Continental GP5000

Bike is newly built from scratch. 

RFS: No time to ride after building the bike. ",N,NA,NA,Y,Kaki Bukit MRT Station (DT28)Blk 661 Jalan Damai,1.33536199,103.90956438,javified,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,43,https://www.carousell.sg/p/giant-propel-advance-sl-road-bike-bicycle-shimao-ultegra-11-speed-1239367697/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fE_PmI5gsJMfuo-b&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2105
30,10 likes,2 images,Shimano Neorider Bicycle,200,Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Shimano Neorider Bicycle - Super Light Alloy - Mountain Bike Frame. Comes with Backlight, Horn, Phone Holder, Lock. Bought for $300 & used a few times.",N,NA,NA,Y,Kembangan MRT Station (EW6),1.32101733,103.91308243,jufri.m,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/shimano-neorider-bicycle-1238185740/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-K7WvTlu9-8PhyYg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2473
