,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,22 likes,5 images,java fuoco size 54 wts/wtt,"1,488",Like new,Mailing,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"brought it one month ago, ride for 20+km only 
rfs: I got leg injury cannot ride for long distance anymore so want to sell or trade with Brompton/anything(ask first).
meet up to deal, can deliver to you once confirmed",Y,Custom courier Free,1 working day(s),N,NA,eezerong,Joined 2 years ago,Very Responsive,Verified,1,0,1,4.7,19,https://www.carousell.sg/p/java-fuoco-size-54-wts-wtt-1228102566/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=I6sbBBsu5PCgBN1j&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1667
1,6 likes,4 images,🆕🔥GIANT Escape 2 CN 2020 Hybrid Bike | Disc Brake Shimano Tourney 7 Speed City Bicycle,520,Brand new,Meetup,2 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Price is for 1 Full Bike(FIRM) 
Brand New & Ready Stock


🔥CLEARANCE : $499 (UP:$550)
🔸100% Cheapest in the Market 🔸


☑️Ready Sets, No Pre-order required. 

☑️FREE : Full Bike Assembly & Tuning 

☑️ FREE Gifts : Bike Stand, Bell, Reflectors, Bottle Cage (WORTH : $20) 

☑️FREE : 3 Months of Tuning & Adjustment Limited Warranty 

☑️Installment Plan Available 




◾Available Size : 

Size XS - Suitable for 150-165cm rider 




Specifications :

Frame: Giant Escape ALLUX

Fork: High Carbon Steel

Shift lever: Shimano 3x7 speed

Front Derailleur: Shimano Tourney 3 Speed

Rear Derailleur: Shimano Tourney 7 Speed

Brakes: Giant Mechanical Disc brake

Crankset: 48/38/28

Cassette: Shimano MF-TZ500-7 14-34T

Tires:  Giant S-X3 700x35C Tyre 





📌 ADD ON (Limited Sets): 
Package 1 - $25 : 

▪️USB Rechargeable Front Light + Rear Light, ▪️Cable Lock,  ▪️Upgraded Bottle Cage Design  


Package 2 - $48 : 

▪️USB Rechargeable Front Light + Rear Light, ▪️5 Digit Number Lock,  ▪️Upgraded Bottle Cage Design, ▪️Phone Holder




               🤝DEALING OPTIONS🤝

◾Self Collection  @ 9002 Tampines St 93 / Singapore 528836 (Appointment Only) 🏢

OR 

◾ 🚚Island Wide Bike Delivery🚚 @ Additional $35

          



☑Follow our Telegram Channel for latest products & upcoming promotions 
@bikecosg

☑Check out our Listings for more Bicycle, Parts & Accessories
",N,NA,NA,Y,9002 tampines St 93 Level 4,bikeco,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,1k,https://www.carousell.sg/p/🆕🔥giant-escape-2-cn-2020-hybrid-bike-disc-brake-shimano-tourney-7-speed-city-bicycle-1243055103/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=51
2,17 likes,1 image,Giant advanced 3 tcr disc 2022,"1,700",Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,"Giant Advanced 3 Tcr disc 2022
Size M
Shimano Tiagra groupset
Some minor scratches with one particularly major scratch 
Pedals not included
Shimano 105 clipless pedals for $100 extra
Willing to nego
Dm for more pictures and details",N,NA,NA,Y,Bishan MRT Interchange (NS17/CC15),geryeett,Joined 2 years ago,Very Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/giant-advanced-3-tcr-disc-2022-1232005024/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1
3,Like,1 image,"NEW MODEL WITH RECHARGABLE LIGHTS REFLECTORS Helmet Bicycle accessories with   food 26"" 24"" seat kid 16"" baby Put seat 29 children rack adult thermal WHATSAPP 89501850",25,Brand new,Mailing,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"🤙For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg


Self collection /  Delivery +$5
For urgent SAME DAY DELIVERY +$20
✅ For Paylah/Paynow to 8950 1850 (Wen) 



Black $25
Colorful $30 (Comes with Back lights)


You can also visit 
➡️ www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat



GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,littlekay.sg,Joined 2 years ago,Not Responsive,Verified,1,0,1,5.0,3,https://www.carousell.sg/p/new-model-with-rechargable-lights-reflectors-helmet-bicycle-accessories-with-food-26-24-seat-kid-16-baby-put-seat-29-children-rack-adult-thermal-whatsapp-89501850-1241955668/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=TIymlxr_zUgvZFmg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=693
4,30 likes,6 images,Trek Madone (size 50),"5,600",Well used,Meetup,4 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"This is a fully setup and ready to chiong bike. Very responsive and fast bike. No need to change anything and can run. Come with bora ultra and dura ace part. Well maintained and serviced.

Trek Madone
Dura Ace 9100 setup
Crank 170mm 
Cassette 11-28
Absolute black Oval chain ring (53)
Rim brake
Ceremicspeed ospd 
Campagnolo Bora ultra 35
Trek Integrated one piece handle bar
Continental competition and gatorskin Tyre

Less pedal, saddle and water cage

Can show receipt. Setup more than $11000. Going for half price.",N,NA,NA,Y,Tai Seng MRT Station (CC11),formula1bp,Joined 8 years ago,Very Responsive,Verified,1,1,1,5.0,91,https://www.carousell.sg/p/trek-madone-size-50-1238201595/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=2_aptq-6WHkTwHcY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2008
5,19 likes,7 images,GIANT defy W/ helmet ,350,Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Size 48 seat tube
52 top tube
Shimano sora group set
Giant all stock
Stem
Drop bar
Seatpost
Rim set
Free helmet ",N,NA,NA,Y,Blk 123 Rivervale DriveRivervale Plaza,ronaldo1970,Joined 7 months ago,Very Responsive,Verified,1,0,1,5.0,1,https://www.carousell.sg/p/giant-defy-w-helmet-1238340565/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=2_aptq-6WHkTwHcY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1970
6,6 likes,2 images,Pinarello Dogma 60.1,"3,700",Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Helping my dad sell of his bike

Bought from local “CycleWorx”

Specs:
Size 50
Reynolds Rim 32’ 
Continental Tires
Campagnolo super record 11 speed

Pm for more details😬

",N,NA,NA,Y,Blk 238 Hougang Avenue 1,angteykor,Joined 8 years ago,Very Responsive,Verified,1,1,1,5.0,21,https://www.carousell.sg/p/pinarello-dogma-60-1-1243008709/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UtvBMiLOA9UC6cr6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=95
7,8 likes,4 images,Giant Aix 777 Frame,70,Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",NA,N,NA,NA,Y,Hougang MRT Station (NE14),teopohhuat.,Joined 6 years ago,Very Responsive,Verified,1,0,1,5.0,15,https://www.carousell.sg/p/giant-aix-777-frame-1242423351/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=i1eymQnXgC4TK2M9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=384
8,1 like,10 images,WTT for Fixie,320,Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Trade for Fixie of similar value. 
Raleigh Revenio 4.0.
Bought brand new around $750 eight years ago. 
Not for fuzzy buyer. 
Tyres are Gator Skin. 
Inner tubes are good. 
Specs:
Full aluminium frame and fork
Rox 3 double wall 700c rims 
2 x 8 speed - Shimano Sora 
FSA Tempo crankset
Tektro brake calipers
Original dropbars
Weight about 10kg
Size XS, 450mm",N,NA,NA,Y,Eden Grove,symonlim,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,307,https://www.carousell.sg/p/wtt-for-fixie-1240715439/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=dazR8Hu6VIQbhePp&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1147
9,Like,1 image,"2023 BEST SELLING Baby seat for bicycle Back child seat   mesh thermal rack bag inch baby 16 seat "" 26 children seat adult lady WHATSAPP 89501850",50,Brand new,Mailing,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"🤙For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg


Self collection /  Delivery +$5
For urgent SAME DAY DELIVERY +$20
✅ For Paylah/Paynow to 8950 1850 (Wen) 



Note: To install the Rear Child Seat, it requires an existing Back Rack to fit the Child Seat on top of it. If you already have 1, you would just require the child seat.

Otherwise, we do sell the back rack $25


Dealing Option:
-Self Collection at woodlands
-Qxpress, $5 doorstep delivery, take 1-2 working days 



We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat



GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,littlekay.sg,Joined 2 years ago,Not Responsive,Verified,1,0,1,5.0,3,https://www.carousell.sg/p/2023-best-selling-baby-seat-for-bicycle-back-child-seat-mesh-thermal-rack-bag-inch-baby-16-seat-26-children-seat-adult-lady-whatsapp-89501850-1241955588/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=TIymlxr_zUgvZFmg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=694
