,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,11 likes,1 image,Factor Ostro Vam Frame Size 56 cm oem Frameset,"1,000",Brand new,Meetup,4 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Preorder,

high quality t1100, made in Taiwan.

with warranty!

all sizes and colours are available,

custom paint jobs can be done too!

Building services can be provided!",N,NA,NA,Y,Paya Lebar MRT Interchange (EW8/CC9),z3r0sumgame,Joined 8 years ago,Very Responsive,Verified,1,0,1,5.0,31,https://www.carousell.sg/p/factor-ostro-vam-frame-size-56-cm-oem-frameset-1242703290/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=aeWCRZcn663Mub3G&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=274
1,20 likes,3 images,Self assembled lady bicycle,88,Brand new,Meetup,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,Imported and self assembled. Unused. Self collect. Too many bicycle at home . ,N,NA,NA,Y,Blk 240 Pasir Ris Street 21,anthonywoocheekay,Joined 7 years ago,Very Responsive,Verified,1,1,1,4.5,8,https://www.carousell.sg/p/self-assembled-lady-bicycle-1241510607/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=uFcAXsB0PzxesFso&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=855
2,12 likes,5 images,Bianchi Bicycle for Sell. Best for 1.4-1.6m,350,Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Bianchi bicycle. Size is XXS 24 inch. Bought used in Carousel 3 months ago for $500. 

I only drive a few times. Has changed the seat to a more comfort one.

Pickup at my place in 69 Moulmein Road.

I do like it a lot for the color, the average to light weight but selling because its too small for me. I'm 1.7m, 80kg. I think best fit for 1.5m.",N,NA,NA,Y,69 Moulmein Road Playgroundmy appartment is next to this play ground. 91 Moulmein road.,vincent_1984,Joined 1 year ago,Very Responsive,Verified,1,0,1,5.0,4,https://www.carousell.sg/p/bianchi-bicycle-for-sell-best-for-1-4-1-6m-1240577938/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gOmDMKud1kd6YnVe&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1209
3,1 like,1 image,Vittoria corsa black 25mm clincher,125,Brand new,Meetup,Kovan MRT Station (NE13),2 days ago,Posted,Never used. May come with original packaging or tag.,"Brand new 
Cash transaction 
Meet up at kovan mrt or downtown station ",N,NA,NA,Y,Kovan MRT Station (NE13),bicyclemerchantling,Joined 7 years ago,Very Responsive,Verified,1,1,1,4.9,122,https://www.carousell.sg/p/vittoria-corsa-black-25mm-clincher-1243133609/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=0
4,13 likes,2 images,Colnago C64 42s / Full Bike ,"11,600",Like new,Meetup,Yesterday,Road Bikes,Bumped,Used once or twice. As good as new.,"Selling as full bike (without pedals + bottle cages). DM me if you’d want to buy some parts of the bike, will consider selling. 

In excellent condition without any prior crashes. Almost brand new condition. 

What’s for sale -
1. C64 Frame Size 42s
2. Campagnolo 12-speed Super Record EPS groupset w/ 165mm crank, 52/36 & 11-32T
3. Bora Ultra WTO 45 Wheelset fitted with Vittoria Corsa Graphene 26mm tyres
4. Colnago 80mm stem
5. Ceramic Speed BB 
6. Front and Rear Lights
7. Disc Rotors front and back
8. Mcfk Aero Handlebar
9. Selle Italia SLR Saddle
10. Garmin mount 

What’s excluded - 
1. Favero Assioma Pedal Power Meter
2. Silca Bottle Cages (Black)


",N,NA,NA,Y,Jalan EunosRobertson Edge,gienne,Joined 7 years ago,Very Responsive,Verified,1,0,1,4.9,145,https://www.carousell.sg/p/colnago-c64-42s-full-bike-1235754074/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UtvBMiLOA9UC6cr6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=83
5,1 like,1 image,"Ladies bike Women Bicycle Vintage Classic Bike wh 29 "" kid lady seat 26 bag inch food delivery 24 adult baby 27.5 thermal WHATSAPP 89501850",149.40,Brand new,Mailing,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 




➡️ 26"""" Wheel 
➡️ 7 Speed 
➡️ Ultralight Body Frame


You can also visit 
➡️ www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery Free,3 - 4 working days,N,NA,bettercycle,Joined 2 years ago,Not Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/ladies-bike-women-bicycle-vintage-classic-bike-wh-29-kid-lady-seat-26-bag-inch-food-delivery-24-adult-baby-27-5-thermal-whatsapp-89501850-1241462850/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=HNLe_MwLzqW_xjVu&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=933
6,8 likes,1 image,BIANCHI OLTRE XR4 (oem),"4,000",Lightly used,Meetup,4 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Full carbon fiber
Shifter shimano ultegra
Fd shimano ultegra
Rd shimano ultegra
Crank shimano ultegra
Breaks shimano ultegra
Brandnew Bora carbon wheel set.
Ritchey steam.

Size 50cm

full Shimano Ultegra 6800 2x11",N,NA,NA,Y,Punggol Field,mohdazmiishak1974,Joined 2 years ago,Very Responsive,Verified,1,1,1,5.0,1,https://www.carousell.sg/p/bianchi-oltre-xr4-oem-1242791568/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=usBQjKnNoP0k5LsI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=214
7,2 likes,1 image,"INSTOCKS 26 inch 21 Speeds Mountain Bike MTB 26"" Bicycle For food delivery riders rear rack rack 26"" 16"" bag delivery thermal child seat inch 24"" baby Put 20"" seat WHATSAPP 89501850",170,Brand new,Mailing,3 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 





- Wheel: 26""""
- High Carbon Steel 
- 21 Speed Gear 
- Disc Brake
- Measurement: 168(Length) x 81-98cm(Height) Seat Adjustable
- Max Load: 150kg

Add on: Back rack $28

Whatsapp 89501850
You can also visit www.dashlab.sg for purchase or more products.

 

You can also visit 
➡️  www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
 dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,lin-shop,Joined 2 years ago,Mostly Responsive,Verified,1,0,1,4.6,9,https://www.carousell.sg/p/instocks-26-inch-21-speeds-mountain-bike-mtb-26-bicycle-for-food-delivery-riders-rear-rack-rack-26-16-bag-delivery-thermal-child-seat-inch-24-baby-put-20-seat-whatsapp-89501850-1238821533/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=oNuakoD2MHKIJR6k&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1802
8,14 likes,7 images,SPECALIZED S-WORKS FRAME ROAD BIKE ( price negotiable),"3,300",Like new,Meetup,Yesterday,Road Bikes,Bumped,Used once or twice. As good as new.,"shimano ultegra ( mechanical version )
well maintained and regularly serviced by the authorised dealer ( proof at the end)
2018 bike frame ( 52 inch )
wasn’t been used in 2 years 
san macro saddle 
red lizard skin grip 
current market value 13000 See less",N,NA,NA,Y,Sixth Avenue MRT Station (DT7),conor.scherer,Joined 1 year ago,Mostly Responsive,Verified,1,0,1,4.7,3,https://www.carousell.sg/p/specalized-s-works-frame-road-bike-price-negotiable-1242865164/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=usBQjKnNoP0k5LsI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=190
9,5 likes,6 images,Pinarello Dogma F Frameset MyWay 43,"12,500",Like new,Meetup,3 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"MyWay Pinarello Dogma F. 

Frame size is 43. Perfect for the ladies.
Condition is 9.5/10

Hardly used. View to believe.",N,NA,NA,Y,Rs Cycle,500rscycles,Joined 2 years ago,Mostly Responsive,Verified,1,1,1,NA,NA,https://www.carousell.sg/p/pinarello-dogma-f-frameset-myway-43-1243032458/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UtvBMiLOA9UC6cr6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=70
