,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,7 likes,1 image,*GIANT TCR ADVANCED 1 2021 R8000 ULTEGRA PR2 WHEELS FULL BIKE*,"1,988",Like new,Meetup,Yesterday,Road Bikes,Bumped,Used once or twice. As good as new.,"*GIANT TCR ADVANCED 1 2021 R8000 ULTEGRA PR2 WHEELS FULL BIKE*

•Giant TCR Advanced 1 2021 Full Carbon Frameset UCI Approved
•Shimano Ultegra R8000 Full Groupset 11speed
•Giant PR2 Wheelset with Giant Gavia Tyres
•Giant Contact Cockpit with New Bartape

Like new condition with zero issues
Super light & fast

Size ML 

Selling at $1988 super cheap 
(RTP $3,200 on website currently)

Welcome viewing. Make an Appointment with us now!
Drop by and Save time on texting👍🏼

Contact us @Cycle21adminQ @Cycle21adminJin

Whatsapp us at 
Wa.link/zoc47x

Join the channel for more bicycle
@cycle21exclusive",N,NA,NA,Y,37 Defu Lane 10,cycle21,Joined 4 years ago,Very Responsive,Verified,1,0,1,4.9,30,https://www.carousell.sg/p/giant-tcr-advanced-1-2021-r8000-ultegra-pr2-wheels-full-bike-1242333373/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=VeufujlyZhqkROXO&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=142
1,44 likes,9 images,SEKA Exceed RDC Size M Full Carbon Road Bike R8170 di2 12 speed groupset zipp 303s wheelset,"5,400",Like new,Meetup,18 hours ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Newly built on 04th July 2023 with used parts.

Great condition, minor scratches and scuffs from usage but no crashes/serious scratches.

Frameset : Seka Exceed RDC Frameset Size M (size 54) (400x100) handlebar 

2 seatpost options are available, 20mm offset and 0mm offset

HSCER Ceramic BB used

Groupset : Shimano Ultegra 12 speed R8170 di2 groupset.  11-30 170 52/36. Rear Derailleur is on a direct mount setup for improved shifting

Dura ace 160/160 rotors

Wheelset : Authentic Zipp 303s in a tubeless setup with schwalbe one TLE 28mm tyres

Includes computer mount and some frame accessories.

Pedals not included.",N,NA,NA,Y,The Cascadia,lynkage,Joined 6 years ago,Very Responsive,Verified,1,1,1,5.0,236,https://www.carousell.sg/p/seka-exceed-rdc-size-m-full-carbon-road-bike-r8170-di2-12-speed-groupset-zipp-303s-wheelset-1241103965/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=VeufujlyZhqkROXO&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=117
2,24 likes,3 images,Cannondale EN 14764 road bike,600,Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,"Condition 8/10
Matte black, sleek looking
Shimano 3 x 8 speeds
M size. Suitable for riders around 1.65m
Self pickup",N,NA,NA,Y,Blk 62B Strathmore Avenue,mrtaykl,Joined 5 years ago,Very Responsive,Verified,1,1,1,5.0,6,https://www.carousell.sg/p/cannondale-en-14764-road-bike-1227536699/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gHzS4cEX41cYVJNL&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1984
3,21 likes,4 images,GIANT TCR ADVANCED PRO 0 FRAMESET,"1,500",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"Condition: 8/10 (small paint chip on top tube that is easily fixed for $160 - I checked a few stores). Washed after every ride.
Mileage: 2900 km (bought from Tay Junction around July 2022)
Negotiable for serious buyers

Deal includes:
1) Frameset: spec here - ",N,NA,NA,Y,Bukit Gombak MRT Station (NS3),idhamhakim24,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,61,https://www.carousell.sg/p/giant-tcr-advanced-pro-0-frameset-1241313462/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AyMIJaKyWIhP32LI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=994
4,2 likes,1 image,"26"" 24 Speed Raleigh Road bike RL880 Hybrid Road Bicycle Racing Bike Drop bar 700c Straight bar R9 bag mesh food adult seat 26"" baby child children 16"" thermal lady rack 27.5 WHATSAPP 89501850",330,Brand new,Mailing,3 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 




➡️ 24 Speed Gear
➡️ 700c Wheel 

Raleigh® RL880™ 2 Road Bicycle Bike
✔️ WEST BIKING™ Hard Plastic Pedals
✔️ KENDA® Road Tyres
✔️ Raleigh® Stem
✔️ Raleigh® 40 Road Rims
✔️ Raleigh® RL880 Rigid Frame
✔️ L-TWOO® Trigger Shifters
✔️ L-TWOO® Derailleur
✔️ Raleigh® Drop Handlebar
✔️ Dual Disc Brakes
✔️ EC1000 Road Saddle 

You can also visit 
➡️  www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
 dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,lin-shop,Joined 2 years ago,Not Responsive,Verified,1,0,1,4.6,9,https://www.carousell.sg/p/26-24-speed-raleigh-road-bike-rl880-hybrid-road-bicycle-racing-bike-drop-bar-700c-straight-bar-r9-bag-mesh-food-adult-seat-26-baby-child-children-16-thermal-lady-rack-27-5-whatsapp-89501850-1238821246/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Kc5ysDvepXtYCCif&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1942
5,35 likes,4 images,Road Bike,800,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",NA,N,NA,NA,Y,Admiralty MRT Station (NS10),dexterxy.,Joined 9 years ago,Mostly Responsive,Verified,1,1,1,5.0,20,https://www.carousell.sg/p/road-bike-1242369978/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DaFFM4SR0gtRvkSV&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=441
6,3 likes,2 images,Kids Bicycle 16 inch,45,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,Collect admiralty mrt,N,NA,NA,Y,Admiralty MRT Station (NS10),tiantian2018,Joined 5 years ago,Very Responsive,Verified,1,0,1,4.9,28,https://www.carousell.sg/p/kids-bicycle-16-inch-1242237393/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0QG0HuqBxfGXyj0V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=503
7,8 likes,4 images,Polygon Helios 200,200,Heavily used,Meetup,2 days ago,Road Bikes,Posted,Has obvious signs of use or defects.,"Front left brake slanted , very dirty the the chain abit spoils spoils and I forgot the number for locking the bike",N,NA,NA,Y,Playground @ Woodland 867Admiralty MRT Station (NS10)See 2+ locations,yeojunnan17282,Joined 1 month ago,Very Responsive,Verified,1,0,1,5.0,2,https://www.carousell.sg/p/polygon-helios-200-1243167769/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gYCyoMW4wGEPd65k&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=13
8,18 likes,1 image,Cipollini RB1K Carbon OEM 🚲,"1,800",Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Cipollini RB1K OEM Bike
-T1100 Full Carbon Frame
-Elitewheels 700Cc Carbon Wheels
-Toseek TR5500 Carbon Road Integrated Handle Bar
-Toseek Carbon Seat
-Sensah empire 2*11 Crankset 165, 52-36 Disc, Center Shaft Bb68
-Continental GrandPix GP5000 S TR28c Black
-Minor paint chip off, no time to ride hence selling.
-Used less than 10 times, suitable for 150-163cm
*Come with Cipollini Bottle Cage

Built close to 3k",N,NA,NA,Y,Pioneer MRT Station (EW28),sincerelybuyer,Joined 6 years ago,Very Responsive,Verified,1,0,1,5.0,390,https://www.carousell.sg/p/cipollini-rb1k-carbon-oem-🚲-1240132197/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=vq2gb6z6HhwNnN1u&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1422
9,Like,5 images,WIGGINS Rouen Junior 26inch Road bike,600,Like new,Meetup,1 week ago,Road Bikes,Posted,Used once or twice. As good as new.,"less than 10 rides old

with cyclo-cross tires (26 x1.3 knobby)
36cm road handlebar
Shimano Claris drivetrain
suits 9-12 years old 138cm  - 159cm",N,NA,NA,Y,Thomson Neighbourhood Police Post,usernamedl,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,157,https://www.carousell.sg/p/wiggins-rouen-junior-26inch-road-bike-1241988763/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fOITnt1OB-FI6xjt&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=631
