,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,3 likes,4 images,24 speed Raleigh Road Bike RL880,280 300,Lightly used,Meetup,6 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Model : RL880 
- 24 speed (3 x 8) 
- Straight handlebar 
- Measurements (ref to pic): 
A: 21 inch 
B: 21.5 inch 
C: 23 inch 

Price negotiable

Pick up at Jurong West St 65",N,NA,NA,Y,Boon Lay MRT Station (EW27),qin1409,Joined 3 years ago,Very Responsive,Verified,1,1,1,5.0,7,https://www.carousell.sg/p/24-speed-raleigh-road-bike-rl880-1242310506/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Lw4R2vI-g1EbCfpx&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=433
1,5 likes,1 image,Scope R3 road wheels,750,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Carbon wheels tubeless compatible 
For Shimano 11 and 12 speed 
Disc brake 
Thru axle ",N,NA,NA,Y,East Coast Road,kenrw,Joined 5 years ago,Very Responsive,Verified,1,1,1,5.0,28,https://www.carousell.sg/p/scope-r3-road-wheels-1240521847/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=dn6VRbs_hNswnaQ8&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1232
2,3 likes,4 images,Lapierre Audacio400,400,Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,"Selling for a friend as unable to store in flat anymore.
7 y/o bike
 Deal at Serangoon. Pics as posted.",N,NA,NA,Y,nex,myonegirl,Joined 9 years ago,Very Responsive,Verified,1,1,1,NA,NA,https://www.carousell.sg/p/lapierre-audacio400-1231282043/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=i1eymQnXgC4TK2M9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=368
3,8 likes,3 images,Canyon endurance (OEM) size: small,"1,280",Brand new,Meetup,3 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Canyon oem frame
Sram Force 22 groupset 
Rim brakes.
No wheelset.
Weight with carbon wheelset: 7.4KG
RFS: spare bike. ",N,NA,NA,Y,SPC CommonwealthHolland Village MRT Station (CC21),fifty18,Joined 6 years ago,Very Responsive,Verified,1,0,1,4.8,43,https://www.carousell.sg/p/canyon-endurance-oem-size-small-1238813629/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=oNuakoD2MHKIJR6k&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1822
4,3 likes,8 images,GAINT ESCAPE 3 BICYCLE (Hybrid),450,Like new,Meetup,6 days ago,Road Bikes,Posted,Used once or twice. As good as new.,recollecting...so selling it!,N,NA,NA,Y,Punggol Field Walk,hamsttar06,Joined 6 years ago,Very Responsive,Verified,1,1,1,5.0,34,https://www.carousell.sg/p/gaint-escape-3-bicycle-hybrid-1242348027/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Lw4R2vI-g1EbCfpx&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=421
5,2 likes,2 images,Shimano 105 R7000 left name plate,5,Brand new,Meetup,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,No packaging and screw. Name plate only,N,NA,NA,Y,Clementi Community Centre,iist0rmy,Joined 3 years ago,Very Responsive,Verified,1,1,1,4.8,20,https://www.carousell.sg/p/shimano-105-r7000-left-name-plate-1242005435/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=wrjDhRbQu5l5UafY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=590
6,4 likes,4 images,De Rosa vintage steel road bike,"1,850",Well used,Meetup,2 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Full shimano 600 groupset 7 speed

Size:54

Effective top tube length:54cm",N,NA,NA,Y,Bus Stop 58129 (Blk 508 CP)Blk 508 MSCP (No. SWSB29)See 1+ locations,xiuting88,Joined 3 years ago,Very Responsive,Verified,1,0,1,4.8,33,https://www.carousell.sg/p/de-rosa-vintage-steel-road-bike-1243120845/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=13
7,18 likes,7 images,Trek MT220,100,Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,"Famous brand. Used, but very well maintained regularly. ",N,NA,NA,Y,The Marbella博多もつ鍋 悟喰 Japanese Restaurant Goku,liulinyi,Joined 8 years ago,Mostly Responsive,Verified,1,1,1,4.8,16,https://www.carousell.sg/p/trek-mt220-1231820847/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UtvBMiLOA9UC6cr6&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=67
8,69 likes,6 images,Road Bike,280 300,Like new,Meetup,3 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"SUNPEED TRITON Road Bike 16spd Aluminium 700C Wheels

Key Features:

Aluminum alloy frame

Integrated aluminum fork

2*8 16spd C-Brake

Aluminum alloy crankset

 

Additional Information:

Color: Jewel Blue

Size:M

Net Weight: 9.9kg

Bought for S$600 a week ago and only been used for 1-2 times only due to the busy work schedule.

we only have The Blue Frame one only,The grey one has been sold recently.",N,NA,NA,Y,Blk 447 Choa Chu Kang Avenue 4meeting up on Thursday is the best as for timing flexible,goleo78910621,Joined 3 weeks ago,Very Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/road-bike-1238414918/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=CBPrbDlEVepG683U&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1948
9,43 likes,4 images,FAST DEAL‼️Di2 BIANCHI Sprint CUSTOMISED PAINTED White 12 Speed,"4,100",Lightly used,Meetup,3 days ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","RFS: Moving OUT
Please offer me your best price but do not lowball  please.",N,NA,NA,Y,8 Courtyards,cori_8,Joined 9 years ago,Mostly Responsive,Verified,1,1,1,4.4,26,https://www.carousell.sg/p/fast-deal‼️di2-bianchi-sprint-customised-painted-white-12-speed-1235803262/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=usBQjKnNoP0k5LsI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=182
